"","WGT","AGE","EDUC","INCOME","CHECKING","SAVING","NMMF","STOCKS","FIN","VEHIC","HOMEEQ","OTHNFIN","DEBT","NETWORTH"
"X6635",7173.3284268,49,14,37004.784689,3200,2300,0,0,25600,4200,5000,0,2100,32700
"X19815",6188.2375194,83,12,25697.767145,5100,1800,0,0,80900,4700,0,0,300,85300
"X19565",5788.8377585,50,16,25697.767145,1500,350,0,0,7350,11800,9000,0,84770,26380
"X12135",7998.0705317,68,16,104846.88995,14600,7100,0,35000,67650,38900,108000,0,181400,168850
"X10700",6501.270854,83,14,58590.909091,0,0,330000,275000,640000,22000,1e+05,0,0,836000
"X2600",7956.8926651,28,17,61674.641148,6000,0,20000,0,54700,4600,32000,0,98000,91300
"X2860",6604.7904946,45,12,20558.213716,1500,530,0,0,4830,2800,0,0,650,6980
"X2175",4522.0593265,57,11,33921.052632,600,3000,0,0,3600,0,0,0,900,2700
"X14915",9185.1147321,50,12,169605.26316,3500,0,0,0,72800,28800,15000,0,78100,108500
"X66351",7173.3284268,49,14,37004.784689,3200,2300,0,0,25600,4200,5000,0,2100,32700
"X6575",1688.0257387,40,14,153158.69219,2000,0,6000,0,21000,38000,19000,0,16000,709000
"X8410",6793.3806993,29,13,15418.660287,3500,3000,0,0,12800,30000,18000,0,73000,39800
"X7230",5859.0520814,59,15,15418.660287,2000,1850,2e+05,0,360350,11000,60000,0,0,493850
"X12955",10373.153135,69,6,12334.92823,1000,0,0,0,1000,16020,31000,0,20900,77120
"X19205",7691.5050662,44,12,53451.355662,1000,1050,0,0,57550,13000,136000,0,60200,200350
"X600",5976.9863355,59,12,38032.695375,990,1200,0,0,9190,19700,27000,8000,139900,46990
"X1290",6655.6237848,22,14,15418.660287,250,0,0,0,4750,6300,0,0,13400,-2350
"X17070",243.63501629,40,16,925119.61722,22000,0,275000,175000,1189000,47000,425000,20000,340000,2031000
"X16140",6677.0208252,68,14,44200.15949,22000,50000,0,0,226800,12000,1e+05,0,0,338800
"X17935",9636.8011067,52,16,81204.944179,0,0,0,0,36000,31100,102000,0,93500,301100
"X3605",5198.341441,39,16,47283.891547,4000,3000,25000,0,92000,17700,0,0,8800,100900
"X10275",5933.3748403,43,16,144935.4067,7700,15300,17000,17000,274000,26500,106000,5000,180600,404900
"X19930",7944.1473962,28,13,75037.480064,3200,50,0,500,32450,23000,178000,0,40000,225450
"X15360",7421.8015669,40,12,123349.2823,1000,6000,50000,20000,137000,40000,185000,0,162900,444100
"X1075",7485.5250091,77,12,12334.92823,1700,12390,43000,0,158090,14300,37000,2500,0,223890
"X7770",9527.8477004,78,16,34948.963317,2000,100,0,0,172600,6100,65000,0,0,243700
"X1010",6341.0975322,58,8,12334.92823,1500,1200,0,0,2700,0,21000,0,108000,23700
"X7095",4293.7517034,37,14,14390.749601,660,0,0,0,660,0,0,0,0,660
"X14255",7427.1702597,78,12,11307.017544,2200,0,0,0,2960,1900,33000,0,940,42920
"X20075",10164.968737,56,14,37004.784689,1000,0,0,0,30000,7100,170000,0,11030,196070
"X2610",5551.9819553,28,12,28781.499203,270,300,0,0,570,2700,0,0,1200,2070
"X965",5837.2791717,83,12,14390.749601,600,20000,0,0,49600,3400,0,0,20,52980
"X17515",6220.5889817,48,16,41116.427432,2000,5000,0,0,37000,5000,115000,0,21200,155800
"X1755",6270.0639059,24,9,8223.2854864,0,0,0,0,0,0,0,0,0,0
"X16440",11386.752961,57,13,113070.17544,0,3500,0,2000,329500,81800,91000,0,59000,509300
"X14750",7029.1678929,29,16,37004.784689,400,100,0,0,9200,2300,12000,0,62000,19500
"X16960",8067.4671945,36,17,63730.46252,2000,0,40000,20000,82800,31400,1e+05,0,115000,199200
"X575",5111.3136335,24,11,24669.856459,0,0,0,0,2000,3800,0,0,0,5800
"X12340",7216.5317721,79,16,25697.767145,7500,0,28000,190000,317500,5600,217000,0,0,540100
"X3250",5516.1521948,40,17,12334.92823,300,0,0,0,300,3800,0,0,0,4100
"X21805",3597.7161469,51,16,81204.944179,5000,0,50000,30000,1325001,15000,570000,25000,188000,2087001
"X17860",2751.661503,49,12,8223.2854864,14600,500,0,0,42400,30000,90000,0,72550,164850
"X6260",3036.6356992,44,14,177828.54864,0,0,50000,85000,379000,31000,389000,0,254400,794600
"X8435",4689.7790073,25,15,40088.516746,160,0,0,0,7160,14000,0,0,13480,7680
"X10795",6313.4185146,55,17,87372.408293,1500,96000,27000,0,151530,22800,125000,0,0,299330
"X9785",6018.8547392,48,6,35976.874003,2850,0,0,0,6650,11800,15000,0,55990,32460
"X17455",8340.9655511,40,14,46255.980861,4000,0,0,0,6000,2100,23000,0,52500,30600
"X11275",10483.66851,68,12,27753.588517,3300,8000,32000,116000,351300,12500,2e+05,0,0,563800
"X6785",7596.6439491,45,12,56535.087719,500,505,0,0,61005,0,38000,0,93040,90965
"X12920",6468.5209548,25,14,4625.5980861,0,0,0,0,0,0,0,0,0,0
"X12685",6937.5422687,50,17,50367.623604,1800,1850,0,0,49650,7400,62000,0,18000,114050
"X7575",5875.4598504,67,14,66814.194577,200,0,0,0,31700,6800,0,0,300,38200
"X16745",8034.5601746,30,14,52423.444976,2000,0,0,0,3300,5000,2000,0,79800,3500
"X3925",6698.1550276,28,12,37004.784689,0,0,0,0,0,13200,0,0,20000,-6800
"X13715",7485.8803396,21,15,11307.017544,800,340,0,0,1140,0,0,0,0,1140
"X2630",6623.7739054,31,16,149047.04944,2000,2300,0,1700,50500,38000,7000,0,220500,224000
"X1880",7673.480689,42,17,12334.92823,220,0,0,0,1220,3100,0,0,1000,8320
"X16810",5375.451587,29,14,38032.695375,20,0,0,0,1520,7500,0,0,14100,-5080
"X7535",5532.8459779,23,14,25697.767145,1200,1,0,0,31251,16100,0,0,24700,24951
"X17395",4448.8960805,36,13,31865.23126,0,0,0,0,0,0,0,0,0,0
"X20265",4733.4575372,40,16,28781.499203,820,400,0,18000,19220,4300,0,0,0,23520
"X16645",6010.712007,58,13,113070.17544,6030,10000,0,0,105330,9900,276000,0,254000,386230
"X18180",4583.3587301,52,12,117181.81818,5400,21000,250000,0,565400,24600,209000,0,840,798160
"X4825",5070.4577342,38,13,33921.052632,0,0,0,0,1000,11300,0,0,3020,9280
"X1845",8154.7751783,78,16,64758.373206,3500,1500,0,26000,168000,21900,250000,0,18600,539300
"X5425",10038.826299,40,12,113070.17544,3000,1500,0,8300,22800,21800,80000,0,220300,124300
"X10600",8502.3050549,68,14,61674.641148,4000,36000,0,0,214000,54800,89000,30000,12800,386000
"X10360",8298.7767975,68,11,10279.106858,0,0,0,0,0,0,27000,0,10000,27000
"X19890",4456.3078696,27,13,16446.570973,750,1550,0,17000,19300,8800,0,0,5600,22500
"X20500",8349.2691021,26,10,19530.30303,0,0,0,0,0,0,163000,0,0,163000
"X2565",6641.8552293,42,16,88400.318979,2000,44000,1e+05,20000,430000,26600,70000,0,5000,526600
"X26002",7956.8926651,28,17,61674.641148,6000,0,20000,0,54700,4600,32000,0,98000,91300
"X19845",4405.0394832,26,12,38032.695375,140,0,0,0,3640,17000,0,0,13000,7640
"X18965",8152.5723517,59,12,43172.248804,9500,7700,0,0,88600,42600,67000,0,28000,198200
"X11230",3934.7121228,28,11,15418.660287,0,0,0,0,0,0,0,0,0,0
"X11260",7423.0858126,75,14,67842.105263,3500,3400,45000,122000,173900,11600,420000,0,300,605200
"X3200",7098.8499113,42,12,98679.425837,1600,13040,1000,600,45740,41200,201200,0,60500,236440
"X5965",5871.1831527,37,16,41116.427432,470,600,1300,0,24020,7300,0,0,350,30970
"X107953",6313.4185146,55,17,87372.408293,1500,96000,27000,0,151530,22800,125000,0,0,299330
"X11035",9078.7938006,85,12,20558.213716,0,0,0,0,51400,2500,60000,0,0,113900
"X18245",5659.8661322,54,17,91484.051037,7000,8200,0,0,35800,122300,98800,0,104800,491300
"X11955",7244.9139067,46,12,16446.570973,10000,10000,0,0,20000,27900,3000,0,47600,80300
"X9345",6726.9282511,92,9,3392.1052632,80,0,0,0,80,0,0,0,0,80
"X2320",6434.5102098,49,14,71953.748006,1300,1600,0,0,25970,18100,118000,0,36680,147390
"X9295",1158.4185124,71,16,65786.283892,3000,400,0,0,46400,6000,290100,0,13100,339300
"X20110",5731.2341063,48,14,51395.53429,5900,11000,0,0,16900,0,8000,0,167750,24150
"X680",6833.6584367,48,16,100735.24721,3800,0,13000,0,327800,43000,220000,0,0,590800
"X13270",7537.6703491,37,17,82232.854864,3200,1950,0,0,81350,9800,0,0,6500,84650
"X3075",7190.2136036,42,17,40088.516746,200,2150,0,0,78050,7800,29000,0,110840,71010
"X13160",9388.0983505,42,17,61674.641148,15000,100,0,0,85100,8800,37000,0,103000,120900
"X20435",3133.2430375,35,17,1182097.2887,0,0,0,375000,780000,0,850000,0,850000,2780000
"X12465",2146.5932247,52,16,51395.53429,18000,40000,0,6e+05,783000,12100,170000,0,30000,1015100
"X4440",4599.0191272,60,12,8223.2854864,660,100,0,0,760,0,0,0,0,760
"X3870",7560.2604401,63,12,29809.409888,1500,0,0,0,78700,9400,20000,0,9800,98300
"X3510",6655.2298714,40,12,80177.033493,1000,0,0,0,7900,47500,29000,0,86300,73100
"X13795",6664.1853197,18,10,7812.1212121,0,0,0,0,0,0,0,0,0,0
"X18155",4538.6282183,50,16,61674.641148,500,500,0,0,9000,18200,0,0,68300,76900
"X4685",7123.2132433,57,16,51395.53429,1000,30000,0,5700,115700,28700,141000,0,73900,270500
"X20135",4921.4820112,44,12,29809.409888,470,300,0,0,770,17100,0,0,3610,14260
"X7975",10857.691451,77,8,15418.660287,0,40000,0,0,40000,3500,210000,0,0,253500
"X16425",6688.8348639,53,11,82232.854864,2000,300,0,0,116300,23600,37000,0,201120,178780
"X84354",4689.7790073,25,15,40088.516746,160,0,0,0,7160,14000,0,0,13480,7680
"X12905",7233.3449961,62,2,71953.748006,1000,500,0,2500,196000,9000,58000,0,164000,298000
"X15095",7819.0560672,86,14,7195.3748006,1010,132000,0,0,133010,34200,0,0,0,167210
"X3625",7581.8314267,34,11,6989.7926635,0,0,0,0,0,0,10000,0,0,10000
"X198455",4405.0394832,26,12,38032.695375,140,0,0,0,3640,17000,0,0,13000,7640
"X570",10431.846514,47,12,45228.070175,500,1,0,0,57001,8400,20000,0,11200,74201
"X21195",6578.5191288,74,16,38032.695375,5200,0,190,50000,279390,21700,125000,0,0,506340
"X16470",3597.7161469,43,12,1408237.6396,10,0,0,0,400060,26000,380000,0,0,2856060
"X14880",5711.2391742,52,12,94567.783094,2150,2610,0,0,6340,9900,106000,0,49000,98240
"X9485",8780.1579845,55,10,1439.0749601,5,400,0,0,11405,21700,47000,0,37950,55155
"X17090",5797.9275382,33,12,10279.106858,700,0,0,0,700,4500,0,0,0,5200
"X9670",11386.752961,45,16,92511.961722,5500,0,0,0,55500,31000,170000,0,139600,596900
"X15945",4792.5121997,44,12,10279.106858,0,0,0,0,0,10100,0,0,70,10030
"X13535",5532.8459779,23,10,29809.409888,200,200,0,0,400,22800,0,0,18800,4400
"X3685",7486.2703994,48,10,16446.570973,0,0,0,0,17370,6400,4800,0,11360,25410
"X540",6746.536873,45,12,40088.516746,750,180,0,0,4930,5300,46000,0,258800,88930
"X17780",6655.8875408,51,16,71953.748006,500,8000,0,400,253900,13000,112000,0,28000,378900
"X21100",3253.9699381,49,14,90456.140351,0,10000,1e+05,3e+05,903000,9300,109000,0,34000,1093300
"X4310",9939.8328637,34,17,47283.891547,1500,0,0,0,2800,7700,25000,0,147100,3400
"X2010",8301.2130917,49,12,38032.695375,500,700,0,0,1200,3000,20000,0,1e+05,24200
"X8785",6388.3726008,55,12,48311.802233,2000,0,0,0,406000,28800,80000,0,0,787800
"X1045",7700.3724397,56,9,34948.963317,500,5000,0,3000,8500,6700,62000,0,23720,76480
"X2935",8045.5847125,76,12,24669.856459,1500,0,0,0,1500,0,70000,0,0,71500
"X11195",7192.3658701,21,12,46255.980861,0,0,0,120000,135000,2200,0,0,2300,134900
"X110356",9078.7938006,85,12,20558.213716,0,0,0,0,51400,2500,60000,0,0,113900
"X3410",6611.1225603,50,16,67842.105263,10,700,0,1,88711,25600,62000,0,38700,175611
"X17765",6235.1707436,83,15,7812.1212121,2000,0,0,0,12000,4500,0,0,0,16500
"X9175",3265.4867906,46,16,71953.748006,1000,1200,10000,0,22200,31900,25000,0,107700,46400
"X6395",5644.9879559,28,12,26725.677831,0,300,0,5700,19000,12000,0,0,520,30480
"X485",5154.0602794,49,16,19530.30303,0,0,0,0,5400,12600,0,0,4140,13860
"X870",1173.935431,40,16,80177.033493,1640,4100,0,1700,52440,50700,149000,0,174000,208140
"X9220",4897.5131145,37,9,12334.92823,40,0,0,0,40,0,0,0,300,-260
"X1920",7487.6105415,63,12,12334.92823,400,0,0,0,400,6300,28000,0,1600,33100
"X19230",8742.7098542,63,15,27753.588517,1850,0,80000,75000,169350,18200,3e+05,0,0,487550
"X18475",2133.9749578,67,17,53451.355662,4000,0,421000,375000,875950,9100,240000,0,0,1125050
"X5895",5446.1082541,45,7,17474.481659,0,520,0,0,1120,1700,0,0,0,2820
"X3695",10109.21361,49,17,76065.39075,2000,500,0,0,40100,5900,8000,0,169000,54000
"X17075",7726.8088454,31,17,63730.46252,0,5000,0,0,126500,13000,10000,0,96700,92800
"X21685",6899.7142764,37,13,21586.124402,800,0,0,0,800,13900,23000,0,39200,24500
"X10410",5134.3239615,25,16,50367.623604,0,300,0,0,18300,15000,0,0,0,86300
"X1350",5540.6097489,31,13,12334.92823,0,0,0,0,0,0,0,0,0,0
"X18760",5988.3061941,43,17,71953.748006,500,0,0,0,61400,17000,124000,0,303000,487900
"X3405",5303.8925631,27,16,26725.677831,510,15,0,0,825,13000,0,0,28800,-14975
"X12035",5803.8740554,35,12,46255.980861,770,0,0,0,1170,8900,28000,0,108800,26270
"X305",6313.97742,47,14,68870.015949,2000,16100,5500,0,223800,16200,60000,0,0,3e+05
"X17850",7666.5599539,72,12,185023.92344,3500,0,0,0,83500,13000,201000,0,129700,416800
"X4110",1503.1836353,38,16,1541866.0287,0,0,1530000,3e+05,3577000,188000,1400000,0,4e+05,5465000
"X4605",6478.4991102,62,12,19530.30303,1800,15000,0,0,16800,10900,1e+05,0,0,127700
"X12555",4686.207602,25,11,26725.677831,0,0,0,0,0,0,0,0,0,0
"X5915",3330.3623243,54,17,332015.15152,15000,23500,125000,0,478500,0,410000,0,290000,2278500
"X22035",4823.137638,58,1,6578.6283892,0,0,0,0,0,0,0,0,0,0
"X6930",5808.7162505,31,12,58590.909091,12000,16500,0,5500,64000,8000,50000,0,128200,303800
"X17060",10597.798361,80,10,23641.945774,4800,0,0,0,13800,17000,143000,0,0,173800
"X13760",6133.1492639,57,12,53451.355662,50,18700,0,0,71750,50600,1e+05,0,10000,517350
"X5825",6661.3143642,56,16,31865.23126,1300,0,0,0,1300,11600,0,0,0,12900
"X34057",5303.8925631,27,16,26725.677831,510,15,0,0,825,13000,0,0,28800,-14975
"X20180",8410.7240213,61,15,101763.15789,450,0,0,0,3350,49700,10000,0,156300,39750
"X21130",11097.53422,78,12,15418.660287,310,0,0,0,310,4400,83000,0,0,87710
"X12205",4681.8402544,46,14,12334.92823,0,0,0,0,0,0,0,0,30000,-30000
"X1265",9929.1221844,77,12,25697.767145,0,0,0,0,7300,9100,85000,0,9100,94300
"X13645",10246.947402,81,12,44200.15949,51000,0,0,0,108000,17500,2e+05,0,0,325500
"X905",7456.1502522,23,11,12334.92823,700,0,0,0,700,0,0,0,0,700
"X21995",5929.3157697,83,12,10279.106858,300,6000,0,0,36300,0,0,0,60,36240
"X6975",9338.9336713,78,16,24669.856459,0,1100,0,0,1100,7600,0,0,870,7830
"X16450",5872.4153198,40,12,22614.035088,2500,120,0,0,20920,12000,0,0,20700,12220
"X14840",5671.0346753,80,13,15418.660287,3700,3300,0,0,7000,0,0,0,0,7000
"X8300",6136.6248255,46,14,52423.444976,1700,6150,0,0,348950,27200,25000,0,126500,370650
"X645",2797.2649086,52,17,192219.29825,2000,2000,0,0,132000,27000,195000,0,155000,1074000
"X2770",7022.5453795,62,16,47283.891547,2700,2000,0,0,11400,6300,115600,0,41400,96300
"X147508",7029.1678929,29,16,37004.784689,400,100,0,0,9200,2300,12000,0,62000,19500
"X1540",6385.0040332,35,11,40088.516746,320,3240,0,0,3560,13000,2000,0,91140,3420
"X19435",5019.3357005,27,11,5961.8819777,0,0,0,0,0,0,0,0,0,0
"X6765",9419.1195706,72,16,30837.320574,400,0,0,0,10400,38800,32000,0,76200,73000
"X54259",10038.826299,40,12,113070.17544,3000,1500,0,8300,22800,21800,80000,0,220300,124300
"X19980",7630.0979163,86,17,37004.784689,10000,20000,0,0,45000,13000,1e+05,0,0,158000
"X54010",6746.536873,45,12,40088.516746,750,180,0,0,4930,5300,46000,0,258800,88930
"X21890",6316.2725706,39,12,87372.408293,1000,15650,0,0,200650,38400,60000,0,176000,263050
"X1220",8765.8772167,76,8,23641.945774,0,18000,0,0,23200,2900,27000,0,0,53100
"X16615",837.30981495,46,16,153158.69219,5000,0,0,750000,1107000,43700,179000,0,103400,1622300
"X16905",11386.752961,76,16,28781.499203,5600,6800,48000,1e+05,680430,9900,2e+05,0,0,1020330
"X9050",1101.0772011,46,17,223056.61882,0,0,80000,14000,780200,33000,360000,0,135000,1577800
"X21165",5386.462245,40,14,71953.748006,0,110000,135000,0,426300,79200,60000,70000,143000,632500
"X16350",5073.3725775,26,11,5653.5087719,0,0,0,0,0,0,0,0,0,0
"X14085",5169.3498256,56,14,35976.874003,200,0,0,0,200,11000,0,0,12500,-1300
"X11465",5134.4672073,54,12,68870.015949,400,900,0,0,1600,12800,0,0,800,13600
"X12610",1725.2995248,60,14,20558.213716,20000,0,0,0,30000,23100,4e+06,120000,0,4173100
"X785",5496.3173362,24,16,30837.320574,1000,0,0,0,18900,24700,0,0,38000,20600
"X14485",6354.0137228,45,13,17474.481659,1500,360,0,0,1860,9300,31000,0,42200,41960
"X8580",7333.3379667,40,12,39060.606061,1000,0,0,0,101400,6700,24000,0,66300,128800
"X10340",6355.6933453,25,14,67842.105263,500,0,0,0,500,33000,27000,0,93000,35500
"X20855",5483.6654369,75,8,6270.2551834,200,450,0,0,650,0,0,0,0,650
"X5420",7143.7854765,43,15,58590.909091,50,1960,1500,0,12310,13700,-7000,0,168930,-32920
"X1200",7770.1209633,49,12,66814.194577,1200,4900,0,0,68700,18600,77000,0,2400,161900
"X13395",6239.690628,29,11,125405.10367,2000,7000,0,6000,39500,39600,60000,0,274000,145100
"X10230",7426.1415301,49,14,30837.320574,0,10000,0,0,10000,10000,159000,0,41000,179000
"X17945",10038.826299,39,17,37004.784689,700,580,0,0,8960,5200,11000,5100,192650,-101390
"X565",6382.7942733,47,12,10279.106858,300,0,0,0,300,6700,0,0,1200,5800
"X18070",7659.5207074,88,7,16446.570973,900,2700,0,2000,39300,1500,160000,0,0,200800
"X509511",7620.1134738,74,12,48311.802233,3500,0,0,0,60100,9600,333000,0,0,402700
"X8940",5120.7297949,43,12,54479.266348,3500,15000,0,0,29000,17500,0,0,9800,36700
"X11575",9604.9903177,66,17,43172.248804,1400,0,0,3600,154000,4000,211000,0,9950,368050
"X1213512",7998.0705317,68,16,104846.88995,14600,7100,0,35000,67650,38900,108000,0,181400,168850
"X14770",8130.4051509,44,14,96623.604466,1800,3800,0,0,81950,28200,62000,0,139000,151150
"X22015",6105.5578607,54,14,14390.749601,1000,1300,0,0,44800,20800,125000,0,13200,277400
"X4965",5025.3417196,49,10,0,0,0,0,0,0,3600,0,0,15000,-11400
"X1660",8149.6942401,44,13,62702.551834,2500,6000,0,0,148000,15000,133000,0,23800,272200
"X20795",6880.3630344,19,13,19530.30303,470,40,0,4000,4510,5500,0,0,4200,8910
"X2045",7719.5388359,21,13,35976.874003,2000,0,0,0,2000,27000,6000,0,195800,-1800
"X10235",9916.6979766,85,16,24669.856459,1,0,0,180000,395201,0,4e+05,0,5000,790201
"X12060",7335.8692173,23,12,22614.035088,100,120,0,0,220,4400,0,0,900,3720
"X5680",8288.441228,57,14,129516.74641,4900,5000,0,0,203700,31100,27000,50000,253610,294190
"X20215",5133.1926532,52,12,19530.30303,2250,410,0,0,43660,9500,0,0,12000,41160
"X15375",7898.4771145,80,6,17474.481659,0,2500,0,0,3200,6400,20000,0,0,29600
"X10740",9507.0043479,78,5,7709.3301435,0,0,0,0,0,0,102000,0,28600,101400
"X4160",4372.7256302,68,16,76065.39075,7000,0,163000,112000,389500,0,3e+05,0,30000,714500
"X310",5950.2488157,40,12,21586.124402,2000,500,0,0,2500,2000,0,0,600,3900
"X3235",6509.0381593,57,12,51395.53429,700,2200,0,0,6200,20100,70000,0,24670,91630
"X21055",8250.074878,67,12,12334.92823,10220,0,0,0,104220,3900,135000,0,7000,254120
"X2620",5284.046558,28,12,0,0,0,0,0,0,0,0,0,0,0
"X1600",4660.6241594,37,17,75037.480064,2500,220,0,0,35820,0,0,5000,5860,34960
"X1751513",6220.5889817,48,16,41116.427432,2000,5000,0,0,37000,5000,115000,0,21200,155800
"X5765",6225.742202,59,14,41116.427432,0,0,0,0,0,2000,0,0,650,1350
"X16945",6440.1730088,79,12,39060.606061,27000,15000,0,0,413300,20800,90000,0,180,553920
"X20830",236.79433876,57,17,429666.66667,0,0,150000,0,320000,7600,60000,0,580000,7547600
"X10105",10483.66851,65,17,35976.874003,0,0,0,9000,412500,21000,12000,0,187600,420900
"X4895",8641.025818,36,12,30837.320574,400,700,0,0,63100,9980,18000,0,62000,91080
"X9895",4920.1955258,55,14,14390.749601,0,0,0,0,0,0,0,0,0,0
"X10650",7902.0619588,48,12,19530.30303,100,0,0,0,100,2600,40000,0,0,42700
"X8705",6661.6100685,54,12,85316.586922,2500,500,0,0,88000,32100,125000,0,25800,219300
"X1490",7291.4425144,85,12,82232.854864,16000,0,0,0,68000,21600,29088,0,0,629600
"X341014",6611.1225603,50,16,67842.105263,10,700,0,1,88711,25600,62000,0,38700,175611
"X1408515",5169.3498256,56,14,35976.874003,200,0,0,0,200,11000,0,0,12500,-1300
"X16235",7640.4959186,28,13,106902.71132,1200,2420,0,0,8370,52000,9000,0,89400,32970
"X2201516",6105.5578607,54,14,14390.749601,1000,1300,0,0,44800,20800,125000,0,13200,277400
"X17115",6487.3485408,43,15,57562.998405,2500,4600,0,1000,9100,27700,49000,0,16500,144300
"X22110",8414.4991634,38,12,56535.087719,1500,1750,0,0,41450,9800,20000,0,111800,62450
"X5075",8472.5535674,78,11,75037.480064,8600,950,0,0,9550,6600,87000,0,0,103150
"X3895",6208.4333566,54,16,83260.76555,16300,0,62700,56000,515650,20580,346000,0,54080,882150
"X18550",6467.8823651,41,14,152130.7815,150,0,0,0,4850,15010,77000,0,56910,82950
"X1998017",7630.0979163,86,17,37004.784689,10000,20000,0,0,45000,13000,1e+05,0,0,158000
"X10815",5992.9396406,56,12,28781.499203,900,560,0,0,8960,9700,90000,0,0,148660
"X130",6832.8261494,50,17,64758.373206,1100,14700,0,0,67800,10000,185000,0,40080,497720
"X15700",9210.3634997,42,17,115125.99681,5600,1900,0,0,43950,62000,41000,0,190500,103450
"X10560",7091.0392534,78,6,8223.2854864,660,0,0,0,660,3700,0,0,0,4360
"X8180",7339.2601624,55,12,15418.660287,0,0,0,0,9500,2600,20000,0,0,32100
