"","Previous","Movie","Distributor","Genre","Gross","Change","Theaters","TotalGross","Days","weekend"
"29",23,"Life as We Know It","Warner Bros.","Romantic Comedy",152285,-26,188,53133727,"94","2011-01-07"
"30",21,"Secretariat","Walt Disney","Drama",145743,-34,225,59291177,"94","2011-01-07"
"31",28,"Hubble 3D","Warner Bros.","Documentary",120776,-14,48,20389851,"297","2011-01-07"
"32",26,"Despicable Me","Universal","Comedy",118355,-31,178,251384620,"185","2011-01-07"
"33",27,"Rabbit Hole","Lionsgate","Drama",109944,-23,34,627981,"24","2011-01-07"
"34",42,"Morning Glory","Paramount Pictures","Comedy",96016,106,178,30883979,"61","2011-01-07"
"35",31,"Another Year","Sony Pictures Classics","Drama",87261,-22,7,303715,"12","2011-01-07"
"36",34,"Made in Dagenham","Sony Pictures Classics","Drama",86685,-9,60,626684,"52","2011-01-07"
"37",33,"Fair*Game","Summit Entertainment","Drama",72887,-25,103,9241952,"66","2011-01-07"
"38",35,"Legend of the Guardians: The Owls of Ga'Hoole","Paramount Pictures","Adventure",56534,-35,95,55638928,"108","2011-01-07"
"39",41,"Inside Job","Sony Pictures Classics","Documentary",55949,2,46,3539370,"94","2011-01-07"
"40",37,"Faster","CBS Films","Action",51630,-23,79,22941231,"47","2011-01-07"
"41",49,"All Good Things","Magnolia Pictures","Drama",43038,40,30,381003,"38","2011-01-07"
"42",39,"Jackass 3D","Paramount Pictures","Comedy",39030,-41,70,117190300,"87","2011-01-07"
"43",40,"Paranormal Activity 2","Paramount Pictures","Horror",34132,-40,90,84723156,"80","2011-01-07"
"44",43,"The Illusionist","Sony Pictures Classics","Adventure",32988,-29,3,178410,"16","2011-01-07"
"45",56,"The Warrior's Way","Relativity","Western",29596,120,32,5604920,"38","2011-01-07"
"46",45,"Millenium 3 - La reine du palais des courants d'air","Alliance Films","Thriller/Suspense",26004,-35,42,5324522,"255","2011-01-07"
"47",54,"Tiny Furniture","IFC Films","Comedy",19492,14,19,317090,"59","2011-01-07"
"48",66,"White Material","IFC Films","Drama",19202,248,21,268914,"52","2011-01-07"
"49",85,"Oy Vey! My Son is Gay!","","",18729,1056,5,26821,"17","2011-01-07"
"50",NA,"Phil Ochs","First Run Features","Documentary",18211,NA,1,26846,"5","2011-01-07"
"51",61,"Summer Wars","GKIDS","Adventure",16470,114,14,35954,"17","2011-01-07"
"52",32,"Tees Maar Khan","UTV Communications","Comedy",14355,-87,38,1072686,"19","2011-01-07"
"53",67,"My Dog Tulip","New Yorker","Drama",13039,144,4,167939,"131","2011-01-07"
"54",92,"Bhutto","First Run Features","Documentary",12784,1822,4,48834,"38","2011-01-07"
"55",48,"Hereafter","Warner Bros.","Thriller/Suspense",12779,-66,33,32741596,"87","2011-01-07"
"56",57,"Four Lions","Drafthouse Films","Black Comedy",11998,6,11,260707,"66","2011-01-07"
"57",64,"Kings of Pastry","First Run Features","Documentary",11200,63,4,286297,"117","2011-01-07"
"58",63,"Vision","Zeitgeist","Drama",9921,38,5,333488,"89","2011-01-07"
"59",73,"Tamara Drewe","Sony Pictures Classics","Comedy",7721,128,19,538029,"94","2011-01-07"
"60",94,"Dogtooth","Kino International","Drama",6966,1476,2,81293,"199","2011-01-07"
"61",NA,"The Time That Remains","IFC Films","Drama",6453,NA,1,6453,"3","2011-01-07"
"62",75,"The Salvation Poem","CanZion Films","",5859,128,1,500064,"87","2011-01-07"
"63",62,"The Strange Case of Angelica","Cinema Guild","Drama",5594,-25,2,21649,"10","2011-01-07"
"64",52,"Rare Exports: A Christmas Tale","Oscilloscope Pictures","Comedy",5267,-74,12,231835,"38","2011-01-07"
"65",68,"Queen of the Lot","Rainbow Releasing","Drama",5237,8,3,123226,"52","2011-01-07"
"66",58,"For Colored Girls","Lionsgate","Drama",5122,-53,21,37686274,"66","2011-01-07"
"67",59,"The Tempest","Miramax","Drama",4875,-55,3,242129,"31","2011-01-07"
"68",65,"Howl","Oscilloscope Pictures","Drama",4774,-29,6,602360,"108","2011-01-07"
"69",81,"Winter's Bone","Roadside Attractions","Drama",4759,131,6,6254382,"213","2011-01-07"
"70",70,"You Will Meet a Tall Dark Stranger","Sony Pictures Classics","Drama",4434,1,6,3235091,"110","2011-01-07"
"71",77,"Feed the Fish","Strand","Romantic Comedy",4411,79,4,90186,"262","2011-01-07"
"72",NA,"Undertow","The Film Collaborative","Drama",3744,NA,2,74768,"115","2011-01-07"
"73",NA,"Marwencol","","Documentary",3583,NA,4,68541,"94","2011-01-07"
"74",71,"Sea Monsters: A Prehistoric Adventure","National Geographic Entertainment","Documentary",3422,-15,2,23490133,"1,193","2011-01-07"
"75",80,"Carlos","IFC Films","Drama",3239,49,5,140760,"87","2011-01-07"
"76",83,"Client 9: The Rise and Fall of Eliot Spitzer","Magnolia Pictures","Documentary",3188,90,6,175468,"66","2011-01-07"
"77",NA,"If I Want to Whistle, I Whistle","Film Movement","Drama",2999,NA,1,2999,"5","2011-01-07"
"78",72,"Night Catches Us","Magnolia Pictures","Drama",2808,-19,4,59585,"38","2011-01-07"
"79",NA,"To the Sea","Film Movement","Drama",2610,NA,1,58293,"180","2011-01-07"
"80",69,"The Wildest Dream","National Geographic Entertainment","Documentary",2100,-55,3,697706,"157","2011-01-07"
"81",NA,"Guy and Madeline on a Park Bench","Variance Films","Musical",1772,NA,2,21329,"66","2011-01-07"
"82",84,"Animal Kingdom","Sony Pictures Classics","Drama",1594,-3,4,1018718,"150","2011-01-07"
"83",89,"Waste Land","Arthouse Films","Documentary",1385,48,2,103839,"73","2011-01-07"
"84",86,"Red Hill","Sony Pictures","Thriller/Suspense",1361,-11,1,20219,"66","2011-01-07"
"85",100,"Mesrine: Killer Instinct","Music Box Films","Drama",1090,586,2,534724,"136","2011-01-07"
"86",87,"Every Man for Himself","The Film Desk","Drama",830,-43,2,34701,"11,047","2011-01-07"
"87",101,"Mesrine: Public Enemy No. 1","Music Box Films","Drama",730,377,2,263235,"129","2011-01-07"
"88",88,"Get Low","Sony Pictures Classics","",674,-49,2,9112538,"164","2011-01-07"
"89",96,"Flickan som lekte med elden","","Thriller/Suspense",412,88,1,9081262,"381","2011-01-07"
"90",78,"The Red Chapel","Lorber Films","Documentary",400,-84,2,5050,"12","2011-01-07"
"91",98,"William S. Burroughs: A Man Within","Oscilloscope Pictures","Documentary",398,115,1,33290,"52","2011-01-07"
"92",90,"Millenium - Le Film","Alliance Films","Thriller/Suspense",376,-53,1,12749156,"297","2011-01-07"
"93",NA,"The Green Hornet","Sony Pictures","Action",33526876,NA,3584,33526876,"3","2011-01-14"
"94",NA,"The Dilemma","Universal","Comedy",17816230,NA,2940,17816230,"3","2011-01-14"
"95",1,"True Grit","Paramount Pictures","Western",11004755,-25,3459,126216650,"26","2011-01-14"
"96",9,"The King's Speech","Weinstein Co.","Drama",9186203,43,1543,44710062,"52","2011-01-14"
"97",5,"Black Swan","Fox Searchlight","Thriller/Suspense",8342648,3,2328,73211006,"45","2011-01-14"
"98",2,"Little Fockers","Universal","Comedy",7194865,-47,3394,134280890,"26","2011-01-14"
"99",4,"Tron: Legacy","Walt Disney","Adventure",5679858,-44,2439,156918454,"31","2011-01-14"
"100",8,"Yogi Bear 3D","Warner Bros.","Adventure",5365547,-19,2702,82115619,"31","2011-01-14"
"101",7,"The Fighter","Paramount Pictures","Drama",5101140,-27,2414,65745804,"38","2011-01-14"
"102",3,"Season of the Witch","Relativity","Thriller/Suspense",4606584,-57,2827,18104324,"10","2011-01-14"
"103",10,"Tangled","Walt Disney","Adventure",3983009,-22,2048,181011048,"54","2011-01-14"
"104",6,"Country Strong","Sony Pictures","Drama",3682375,-50,1424,13287509,"26","2011-01-14"
"105",11,"The Chronicles of Narnia: The Voyage of the Dawn Treader","20th Century Fox","Adventure",2324393,-49,1704,98067129,"38","2011-01-14"
"106",12,"Gulliver's Travels","20th Century Fox","Comedy",2118591,-54,1666,37647014,"26","2011-01-14"
"107",13,"The Tourist","Sony Pictures","Thriller/Suspense",1680709,-55,1420,64259655,"38","2011-01-14"
"108",14,"Harry Potter and the Deathly Hallows: Part I","Warner Bros.","Adventure",1399204,-41,941,289803472,"59","2011-01-14"
"109",16,"Blue Valentine","Weinstein Co.","Drama",1386776,97,230,2847261,"19","2011-01-14"
"110",20,"Megamind","Paramount Pictures","Adventure",661523,141,341,145416608,"73","2011-01-14"
"111",NA,"Yamla Pagla Deewana","Eros Entertainment","Comedy",504116,NA,84,504116,"3","2011-01-14"
"112",NA,"The Heart Specialist","Freestyle Releasing","Romantic Comedy",473062,NA,422,473062,"3","2011-01-14"
"113",15,"How Do You Know?","Sony Pictures","Romantic Comedy",399617,-79,615,29940256,"31","2011-01-14"
"114",NA,"Barney's Version","Sony Pictures Classics","Drama",362524,NA,42,903016,"17","2011-01-14"
"115",17,"The Social Network","Sony Pictures","Drama",360057,-45,322,94702149,"108","2011-01-14"
"116",22,"Due Date","Warner Bros.","Comedy",321069,26,341,100064639,"73","2011-01-14"
"117",33,"Rabbit Hole","Lionsgate","Drama",276301,151,100,958116,"31","2011-01-14"
"118",21,"Burlesque","Sony Pictures","Drama",264531,3,295,38633017,"54","2011-01-14"
"119",27,"Somewhere","Focus Features","Drama",251113,54,53,982930,"26","2011-01-14"
"120",18,"Unstoppable","20th Century Fox","Action",243256,-29,303,80392103,"66","2011-01-14"
"121",25,"127 Hours","Fox Searchlight","Drama",162933,-25,76,11091004,"73","2011-01-14"
"122",19,"Love and Other Drugs","20th Century Fox","Drama",154845,-47,166,31970278,"54","2011-01-14"
"123",26,"Red","Summit Entertainment","Action",140008,-30,206,90065332,"94","2011-01-14"
"124",31,"Hubble 3D","Warner Bros.","Documentary",138913,15,48,20607837,"304","2011-01-14"
"125",24,"I Love You Phillip Morris","Roadside Attractions","Comedy",132040,-39,95,1660062,"45","2011-01-14"
"126",28,"Casino Jack","Samuel Goldwyn Films","Thriller/Suspense",120934,-23,60,611294,"31","2011-01-14"
"127",35,"Another Year","Sony Pictures Classics","Drama",111806,28,13,450095,"19","2011-01-14"
"128",23,"No One Killed Jessica","UTV Communications","Drama",99269,-56,45,372357,"10","2011-01-14"
"129",36,"Made in Dagenham","Sony Pictures Classics","Drama",93623,8,89,758345,"59","2011-01-14"
"130",30,"Secretariat","Walt Disney","Drama",88695,-39,136,59434624,"101","2011-01-14"
"131",29,"Life as We Know It","Warner Bros.","Romantic Comedy",88487,-42,132,53273361,"101","2011-01-14"
"132",32,"Despicable Me","Universal","Comedy",63010,-47,137,251476985,"192","2011-01-14"
"133",44,"The Illusionist","Sony Pictures Classics","Adventure",60472,83,7,254265,"23","2011-01-14"
"134",34,"Morning Glory","Paramount Pictures","Comedy",54578,-43,127,30982329,"68","2011-01-14"
"135",37,"Fair*Game","Summit Entertainment","Drama",45080,-38,79,9320833,"73","2011-01-14"
"136",NA,"Under the Sea 3D","Warner Bros.","Documentary",41504,NA,13,26748079,"703","2011-01-14"
"137",40,"Faster","CBS Films","Action",41061,-20,77,23001206,"54","2011-01-14"
"138",39,"Inside Job","Sony Pictures Classics","Documentary",34820,-38,46,3613238,"101","2011-01-14"
"139",46,"Millenium 3 - La reine du palais des courants d'air","Alliance Films","Thriller/Suspense",29684,14,37,5354206,"262","2011-01-14"
"140",66,"For Colored Girls","Lionsgate","Drama",27258,432,111,37714860,"73","2011-01-14"
"141",41,"All Good Things","Magnolia Pictures","Drama",24242,-44,29,422394,"45","2011-01-14"
"142",45,"The Warrior's Way","Relativity","Western",23853,-19,77,5636655,"45","2011-01-14"
"143",NA,"Down for Life","B.D. Fox Independant","Drama",23176,NA,5,23176,"3","2011-01-14"
"144",NA,"Space Station","IMAX Films","Documentary",15163,NA,2,82581546,"3,195","2011-01-14"
"145",43,"Paranormal Activity 2","Paramount Pictures","Horror",13542,-60,40,84747727,"87","2011-01-14"
"146",38,"Legend of the Guardians: The Owls of Ga'Hoole","Paramount Pictures","Adventure",13434,-76,41,55668070,"115","2011-01-14"
"147",49,"Oy Vey! My Son is Gay!","","",13405,-28,5,50304,"24","2011-01-14"
"148",42,"Jackass 3D","Paramount Pictures","Comedy",13362,-66,22,117222007,"94","2011-01-14"
"149",50,"Phil Ochs","First Run Features","Documentary",12377,-32,1,49958,"12","2011-01-14"
"150",NA,"Every Day","Image Entertainment","Drama",9857,NA,3,9857,"3","2011-01-14"
"151",85,"Mesrine: Killer Instinct","Music Box Films","Drama",9786,798,9,544947,"143","2011-01-14"
"152",47,"Tiny Furniture","IFC Films","Comedy",9556,-51,12,335160,"66","2011-01-14"
"153",56,"Four Lions","Drafthouse Films","Black Comedy",9507,-21,13,273317,"73","2011-01-14"
"154",NA,"Galapagos","IMAX Films","Documentary",9500,NA,2,17795788,"4,098","2011-01-14"
"155",58,"Vision","Zeitgeist","Drama",9491,-4,8,352686,"96","2011-01-14"
"156",83,"Waste Land","Arthouse Films","Documentary",8848,539,3,114260,"80","2011-01-14"
"157",48,"White Material","IFC Films","Drama",8789,-54,13,287013,"59","2011-01-14"
"158",51,"Summer Wars","GKIDS","Adventure",7137,-57,9,53632,"24","2011-01-14"
"159",69,"Winter's Bone","Roadside Attractions","Drama",6162,29,6,6263188,"220","2011-01-14"
"160",67,"The Tempest","Miramax","Drama",5749,18,5,235513,"38","2011-01-14"
"161",62,"The Salvation Poem","CanZion Films","",5676,-3,1,506374,"94","2011-01-14"
"162",NA,"Ong Bak 3","Magnet Pictures","Action",5648,NA,3,5648,"3","2011-01-14"
"163",NA,"Battleship Potemkin","Kino International","",5641,NA,1,5641,"30,724","2011-01-14"
"164",65,"Queen of the Lot","Rainbow Releasing","Drama",5382,3,4,129709,"59","2011-01-14"
"165",73,"Marwencol","","Documentary",4926,37,6,74453,"101","2011-01-14"
"166",NA,"Deep Sea 3-D","Warner Bros.","Documentary",4374,NA,2,43971612,"1,781","2011-01-14"
"167",54,"Bhutto","First Run Features","Documentary",3999,-69,3,58622,"45","2011-01-14"
"168",61,"The Time That Remains","IFC Films","Drama",3449,-47,1,13633,"10","2011-01-14"
"169",63,"The Strange Case of Angelica","Cinema Guild","Drama",3436,-39,2,27741,"17","2011-01-14"
"170",57,"Kings of Pastry","First Run Features","Documentary",3419,-69,4,295692,"124","2011-01-14"
"171",74,"Sea Monsters: A Prehistoric Adventure","National Geographic Entertainment","Documentary",3114,-9,2,23496830,"1,200","2011-01-14"
"172",75,"Carlos","IFC Films","Drama",3074,-5,3,144618,"94","2011-01-14"
"173",71,"Feed the Fish","Strand","Romantic Comedy",3008,-32,3,96688,"269","2011-01-14"
"174",80,"The Wildest Dream","National Geographic Entertainment","Documentary",2532,21,3,700957,"164","2011-01-14"
"175",NA,"A Somewhat Gentle Man","Strand","Black Comedy",2506,NA,1,2506,"3","2011-01-14"
"176",76,"Client 9: The Rise and Fall of Eliot Spitzer","Magnolia Pictures","Documentary",2405,-25,5,179911,"73","2011-01-14"
"177",91,"William S. Burroughs: A Man Within","Oscilloscope Pictures","Documentary",2057,417,2,36374,"59","2011-01-14"
"178",53,"My Dog Tulip","New Yorker","Drama",1996,-85,1,176971,"138","2011-01-14"
"179",87,"Mesrine: Public Enemy No. 1","Music Box Films","Drama",1868,156,8,265259,"136","2011-01-14"
"180",NA,"Strange Powers: Stephin Merritt and the Magnetic Fields","Variance Films","Documentary",1768,NA,1,57290,"80","2011-01-14"
"181",NA,"Enemies of the People","International Film Circuit","Documentary",1581,NA,3,49560,"171","2011-01-14"
"182",68,"Howl","Oscilloscope Pictures","Drama",1517,-68,3,606228,"115","2011-01-14"
"183",78,"Night Catches Us","Magnolia Pictures","Drama",1355,-52,3,61719,"45","2011-01-14"
"184",81,"Guy and Madeline on a Park Bench","Variance Films","Musical",1236,-30,2,24071,"73","2011-01-14"
"185",NA,"Genius Within: The Inner Life of Glenn Gould","Lorber Films","Documentary",1229,NA,3,163351,"129","2011-01-14"
"186",64,"Rare Exports: A Christmas Tale","Oscilloscope Pictures","Comedy",1066,-80,5,235146,"45","2011-01-14"
"187",NA,"Plastic Planet","First Run Features","Documentary",740,NA,1,740,"3","2011-01-14"
"188",NA,"Nine Nation Animation","The World According to Shorts","Multiple Genres",348,NA,1,17952,"110","2011-01-14"
"189",84,"Red Hill","Sony Pictures","Thriller/Suspense",293,-78,1,20898,"73","2011-01-14"
"190",52,"Tees Maar Khan","UTV Communications","Comedy",293,-98,2,1076266,"26","2011-01-14"
"191",60,"Dogtooth","Kino International","Drama",214,-97,1,90707,"206","2011-01-14"
"192",NA,"Magnificent Desolation","IMAX Films","Documentary",145,NA,1,34062378,"1,942","2011-01-14"
"193",NA,"No Strings Attached","Paramount Pictures","Romantic Comedy",19652921,NA,3018,19652921,"3","2011-01-21"
"194",1,"The Green Hornet","Sony Pictures","Action",17677565,-47,3584,63018808,"10","2011-01-21"
"195",2,"The Dilemma","Universal","Comedy",9108890,-49,2943,32746225,"10","2011-01-21"
"196",4,"The King's Speech","Weinstein Co.","Drama",7854910,-14,1680,57313881,"59","2011-01-21"
"197",3,"True Grit","Paramount Pictures","Western",7330092,-33,3464,137963519,"33","2011-01-21"
"198",5,"Black Swan","Fox Searchlight","Thriller/Suspense",5869744,-30,2407,83250375,"52","2011-01-21"
"199",6,"Little Fockers","Universal","Comedy",4320090,-40,2979,141111705,"33","2011-01-21"
"200",9,"The Fighter","Paramount Pictures","Drama",4164504,-18,2275,72680740,"45","2011-01-21"
"201",8,"Yogi Bear 3D","Warner Bros.","Adventure",3819395,-29,2510,88649598,"38","2011-01-21"
"202",7,"Tron: Legacy","Walt Disney","Adventure",3647121,-36,2018,163206611,"38","2011-01-21"
"203",11,"Tangled","Walt Disney","Adventure",3081926,-23,1860,186356425,"61","2011-01-21"
"204",10,"Season of the Witch","Relativity","Thriller/Suspense",2297299,-50,2307,22189331,"17","2011-01-21"
"205",12,"Country Strong","Sony Pictures","Drama",2082688,-43,1441,16845052,"33","2011-01-21"
"206",13,"The Chronicles of Narnia: The Voyage of the Dawn Treader","20th Century Fox","Adventure",1353936,-42,1135,100620366,"45","2011-01-21"
"207",NA,"The Way Back","Newmarket Films","Adventure",1218867,NA,678,1218867,"3","2011-01-21"
"208",14,"Gulliver's Travels","20th Century Fox","Comedy",1159012,-45,1100,40021613,"33","2011-01-21"
"209",16,"Harry Potter and the Deathly Hallows: Part I","Warner Bros.","Adventure",898271,-36,725,291340768,"66","2011-01-21"
"210",15,"The Tourist","Sony Pictures","Thriller/Suspense",881114,-48,875,65894031,"45","2011-01-21"
"211",17,"Blue Valentine","Weinstein Co.","Drama",877815,-37,242,4460022,"26","2011-01-21"
"212",NA,"The Company Men","Weinstein Co.","Drama",647797,NA,106,690934,"3","2011-01-21"
"213",18,"Megamind","Paramount Pictures","Adventure",571044,-14,320,146340723,"80","2011-01-21"
"214",22,"Barney's Version","Sony Pictures Classics","Drama",478684,32,77,1573318,"24","2011-01-21"
"215",23,"The Social Network","Sony Pictures","Drama",444086,23,385,95408473,"115","2011-01-21"
"216",NA,"Mumbai Diaries","UTV Communications","Drama",365297,NA,78,365297,"3","2011-01-21"
"217",20,"The Heart Specialist","Freestyle Releasing","Romantic Comedy",251509,-47,293,922637,"10","2011-01-21"
"218",24,"Due Date","Warner Bros.","Comedy",237814,-26,275,100448498,"80","2011-01-21"
"219",28,"Unstoppable","20th Century Fox","Action",226970,-7,278,80731352,"73","2011-01-21"
"220",26,"Burlesque","Sony Pictures","Drama",217015,-18,296,39031819,"61","2011-01-21"
"221",35,"Another Year","Sony Pictures Classics","Drama",208366,86,45,714387,"26","2011-01-21"
"222",19,"Yamla Pagla Deewana","Eros Entertainment","Comedy",203712,-60,84,851381,"10","2011-01-21"
"223",27,"Somewhere","Focus Features","Drama",203401,-19,83,1306896,"33","2011-01-21"
"224",25,"Rabbit Hole","Lionsgate","Drama",177591,-36,101,1268041,"38","2011-01-21"
"225",32,"Hubble 3D","Warner Bros.","Documentary",121856,-12,49,20841640,"311","2011-01-21"
"226",29,"127 Hours","Fox Searchlight","Drama",118557,-27,69,11296805,"80","2011-01-21"
"227",21,"How Do You Know?","Sony Pictures","Romantic Comedy",114471,-71,261,30212620,"38","2011-01-21"
"228",31,"Red","Summit Entertainment","Action",104005,-26,153,90238922,"101","2011-01-21"
"229",30,"Love and Other Drugs","20th Century Fox","Drama",99853,-36,146,32156820,"61","2011-01-21"
"230",41,"The Illusionist","Sony Pictures Classics","Adventure",80599,33,15,370984,"30","2011-01-21"
"231",33,"I Love You Phillip Morris","Roadside Attractions","Comedy",78191,-41,75,1800935,"52","2011-01-21"
"232",37,"Made in Dagenham","Sony Pictures Classics","Drama",73205,-22,86,887185,"66","2011-01-21"
"233",34,"Casino Jack","Samuel Goldwyn Films","Thriller/Suspense",71244,-41,48,743132,"38","2011-01-21"
"234",38,"Secretariat","Walt Disney","Drama",70415,-21,107,59560343,"108","2011-01-21"
"235",45,"Faster","CBS Films","Action",61557,50,106,23081726,"61","2011-01-21"
"236",39,"Life as We Know It","Warner Bros.","Romantic Comedy",49551,-44,86,53358964,"108","2011-01-21"
"237",43,"Fair*Game","Summit Entertainment","Drama",35096,-22,72,9376706,"80","2011-01-21"
"238",49,"All Good Things","Magnolia Pictures","Drama",31888,32,28,467606,"52","2011-01-21"
"239",36,"No One Killed Jessica","UTV Communications","Drama",28667,-71,28,428691,"17","2011-01-21"
"240",46,"Inside Job","Sony Pictures Classics","Documentary",24248,-30,23,3660812,"108","2011-01-21"
"241",52,"Space Station","IMAX Films","Documentary",19997,32,2,82586379,"3,202","2011-01-21"
"242",NA,"The Housemaid","IFC Films","Thriller/Suspense",16670,NA,2,16670,"3","2011-01-21"
"243",47,"Millenium 3 - La reine du palais des courants d'air","Alliance Films","Thriller/Suspense",16187,-45,23,5389221,"269","2011-01-21"
"244",51,"Down for Life","B.D. Fox Independant","Drama",8871,-62,5,39644,"10","2011-01-21"
"245",55,"Oy Vey! My Son is Gay!","","",8846,-34,4,62581,"31","2011-01-21"
"246",63,"Vision","Zeitgeist","Drama",8218,-13,5,372376,"103","2011-01-21"
"247",50,"The Warrior's Way","Relativity","Western",7969,-67,29,5656787,"52","2011-01-21"
"248",60,"Tiny Furniture","IFC Films","Comedy",7838,-18,16,347661,"73","2011-01-21"
"249",NA,"What If...","Five & Two Pictures","",7721,NA,5,775308,"157","2011-01-21"
"250",61,"Four Lions","Drafthouse Films","Black Comedy",7404,-22,9,284748,"80","2011-01-21"
"251",86,"My Dog Tulip","New Yorker","Drama",7156,259,5,185144,"145","2011-01-21"
"252",66,"Summer Wars","GKIDS","Adventure",6255,-12,6,63293,"31","2011-01-21"
"253",62,"Galapagos","IMAX Films","Documentary",6240,-34,2,17807970,"4,105","2011-01-21"
"254",84,"Client 9: The Rise and Fall of Eliot Spitzer","Magnolia Pictures","Documentary",6235,159,10,187540,"80","2011-01-21"
"255",87,"Mesrine: Public Enemy No. 1","Music Box Films","Drama",6217,233,3,273242,"143","2011-01-21"
"256",57,"Phil Ochs","First Run Features","Documentary",5918,-52,1,62469,"19","2011-01-21"
"257",NA,"The Woodmans","Lorber Films","Documentary",5874,NA,1,9560,"5","2011-01-21"
"258",68,"The Tempest","Miramax","Drama",5328,-7,8,258557,"45","2011-01-21"
"259",85,"William S. Burroughs: A Man Within","Oscilloscope Pictures","Documentary",5298,158,4,42436,"66","2011-01-21"
"260",65,"White Material","IFC Films","Drama",5075,-42,11,295886,"66","2011-01-21"
"261",89,"Enemies of the People","International Film Circuit","Documentary",4241,168,4,42463,"178","2011-01-21"
"262",NA,"Tamara Drewe","Sony Pictures Classics","Comedy",4023,NA,14,551077,"108","2011-01-21"
"263",67,"Winter's Bone","Roadside Attractions","Drama",4020,-35,6,6271090,"227","2011-01-21"
"264",73,"Marwencol","","Documentary",3894,-21,6,82342,"108","2011-01-21"
"265",79,"Sea Monsters: A Prehistoric Adventure","National Geographic Entertainment","Documentary",3830,23,2,23504471,"1,207","2011-01-21"
"266",69,"The Salvation Poem","CanZion Films","",3754,-34,2,511049,"101","2011-01-21"
"267",70,"Ong Bak 3","Magnet Pictures","Action",3389,-40,3,12589,"10","2011-01-21"
"268",76,"The Time That Remains","IFC Films","Drama",2717,-21,2,18719,"17","2011-01-21"
"269",NA,"Get Low","Sony Pictures Classics","",2594,NA,3,9116297,"178","2011-01-21"
"270",64,"Waste Land","Arthouse Films","Documentary",2396,-73,4,116700,"87","2011-01-21"
"271",82,"The Wildest Dream","National Geographic Entertainment","Documentary",2389,-6,3,703691,"171","2011-01-21"
"272",71,"Battleship Potemkin","Kino International","",2283,-60,1,13289,"30,731","2011-01-21"
"273",81,"Feed the Fish","Strand","Romantic Comedy",2244,-25,4,99931,"276","2011-01-21"
"274",93,"Genius Within: The Inner Life of Glenn Gould","Lorber Films","Documentary",2180,77,4,166182,"136","2011-01-21"
"275",NA,"Nenette","Kino International","Documentary",1797,NA,2,8362,"33","2011-01-21"
