"","Dist","Name","Date","Time","Time.1","age"
"86",5000,"Ed Benham","08/06/88",1317.88,"21.57,88",80
"87",5000,"Yoshiharu Ueda","09/16/94",1550.97,"25.50,97",85
"88",5000,"Alfred Althaus","07/23/97",2160.64,"36.00,64",90
"89",5000,"Herbert Kirk","07/25/91",3023.53,"50.23,53",95
"90",10000,"Carlos Lopes","07/02/84",1637.48,"27.17,48",35
"91",10000,"Martti Vainio","06/25/91",1710.88,"28.30,88",40
"92",10000,"Antonio Villanueva","11/29/87",1802.56,"30.02,56",45
"93",10000,"Ron Robertson","07/24/91",1861.9,"31.01,90",50
"94",10000,"Gunter Mielke","01/01/97",1949.86,"32.29,86",55
"95",10000,"Luciano Acquarone","07/20/91",2054.88,"34.14,88",60
"96",10000,"Derek Turnbull","03/15/92",2082.08,"34.42,8",65
"97",10000,"Warren Utes","07/21/91",2303.69,"38.23,69",70
"98",10000,"David Morrison","09/09/89",2523.04,"42.03,4",75
"99",10000,"Ed Benham","08/04/88",2669.86,"44.29,86",80
"100",10000,"Josef Galia","08/28/85",3263,"54.23,0",85
"101",10000,"Paul Spangler","07/29/89",4300.78,"1.11.40,78",90
"102",42195,"Carlos Lopes","04/20/85",7632,"2.07.12",35
"103",42195,"John Campbell","04/16/90",7864,"2.11.04",40
"104",42195,"Kjell-Erik Stihl","09/29/91",8151,"2.15.51",45
"105",42195,"Titus Mamabola","01/01/91",8370,"2.19.30",50
"106",42195,"Erik Estbye","01/01/76",8795,"2.26.35",55
"107",42195,"Luciano Acquarone","07/28/91",9495,"2.38.15",60
"108",42195,"Will van der Lee","04/23/95",9866,"2.44.26",65
"109",42195,"John Keston","01/01/96",10840,"3.00.40",70
"110",42195,"Gordon Porteous","06/25/89",12192,"3.23.12",75
"111",42195,"Andre Osselaer","07/27/96",14891,"4.08.11",80
"112",42195,"Sam Gadless","01/01/95",22998,"6.23.18",85
"113",42195,"Josef Galia","01/01/90",27266,"7.34.26",90
