"","V1","V2"
"159",1903.1667,1.039144
"160",1904,0.66722972
"161",1904.0833,-0.096656576
"162",1904.1667,-0.23355572
"163",1905,0.70635854
"164",1905.0833,0.32532578
"165",1905.1667,0.23051806
"166",1906,0.39453507
"167",1906.0833,-0.10048412
"168",1906.1667,-0.19527995
"169",1907,-0.16793002
"170",1907.0833,0.54278226
"171",1907.1667,0.92627493
"172",1908,-0.057222487
"173",1908.0833,0.37148308
"174",1908.1667,-0.48022276
"175",1909,0.40454968
"176",1909.0833,0.18434977
"177",1909.1667,-1.2889946
"178",1910,0.34420097
"179",1910.0833,0.41650427
"180",1910.1667,0.35951419
"181",1911,0.33186152
"182",1911.0833,0.37309086
"183",1911.1667,-0.017141044
"184",1912,-0.34338573
"185",1912.0833,-0.68817551
"186",1912.1667,-0.86500023
"187",1913,0.28250517
"188",1913.0833,0.026282094
"189",1913.1667,0.43160619
"190",1914,0.72600747
"191",1914.0833,1.0219746
"192",1914.1667,-0.50956787
"193",1915,-0.93443769
"194",1915.0833,0.33434479
"195",1915.1667,-1.8104047
"196",1916,0.83500275
"197",1916.0833,0.646926
"198",1916.1667,-1.2063453
"199",1917,-0.29592967
"200",1917.0833,-1.0933303
"201",1917.1667,-1.2390212
"202",1918,-0.058518562
"203",1918.0833,0.83017614
"204",1918.1667,0.61622998
"205",1919,-0.67058506
"206",1919.0833,-0.40207874
"207",1919.1667,-0.88592603
"208",1920,0.6666185
"209",1920.0833,0.37956378
"210",1920.1667,0.966791
"211",1921,1.2925256
"212",1921.0833,0.90624943
"213",1921.1667,0.85214829
"214",1922,-1.1456948
"215",1922.0833,0.17926604
"216",1922.1667,-0.12837107
"217",1923,0.80143147
"218",1923.0833,-0.5390341
"219",1923.1667,0.016926676
"220",1924,-0.61876121
"221",1924.0833,-0.6317013
"222",1924.1667,-1.7031866
"223",1925,2.1702782
"224",1925.0833,1.2960316
"225",1925.1667,-0.71806814
"226",1926,-0.31652257
"227",1926.0833,0.012166842
"228",1926.1667,-0.1301176
"229",1927,-0.69343549
"230",1927.0833,0.528801
"231",1927.1667,-0.32500125
"232",1928,0.15410398
"233",1928.0833,0.0053776685
"234",1928.1667,-0.30145066
"235",1929,-1.2767549
"236",1929.0833,-1.9068978
"237",1929.1667,0.034110855
"238",1930,0.55296192
"239",1930.0833,0.65997217
"240",1930.1667,0.28235084
"241",1931,-1.0996381
"242",1931.0833,-1.2390548
"243",1931.1667,-1.1892176
"244",1932,2.2255048
"245",1932.0833,0.41182108
"246",1932.1667,-1.4128209
"247",1933,0.21437706
"248",1933.0833,-1.1021826
"249",1933.1667,-0.72811611
"250",1934,1.3909595
"251",1934.0833,1.2075101
"252",1934.1667,-0.27149665
"253",1935,0.56828511
"254",1935.0833,1.5594744
"255",1935.1667,0.081453812
"256",1936,-0.58110123
"257",1936.0833,-1.3143131
"258",1936.1667,-0.75330052
"259",1937,0.40912672
"260",1937.0833,0.2272065
"261",1937.1667,-1.7167739
"262",1938,-0.10961181
"263",1938.0833,0.67764204
"264",1938.1667,1.2667483
"265",1939,-0.10141302
"266",1939.0833,1.2150626
"267",1939.1667,0.58852469
"268",1940,-2.7336618
"269",1940.0833,-1.0102939
"270",1940.1667,-0.45342503
"271",1941,-1.2779137
"272",1941.0833,-2.1786729
"273",1941.1667,-1.852049
"274",1942,-0.59662342
"275",1942.0833,-1.9054104
"276",1942.1667,-1.7149116
"277",1943,-0.61460484
"278",1943.0833,1.3969714
"279",1943.1667,0.85557194
"280",1944,0.8216413
"281",1944.0833,0.62344447
"282",1944.1667,0.014523652
"283",1945,-0.81632671
"284",1945.0833,-0.27800062
"285",1945.1667,0.015973542
"286",1946,0.44243196
"287",1946.0833,0.66254646
"288",1946.1667,-0.48273709
"289",1947,-0.63902875
"290",1947.0833,-2.3930643
"291",1947.1667,-1.7170012
"292",1948,0.24865851
"293",1948.0833,0.30319723
"294",1948.1667,1.0203369
"295",1949,2.0935059
"296",1949.0833,2.0334229
"297",1949.1667,-0.36301054
"298",1950,-0.037888953
"299",1950.0833,1.4073063
"300",1950.1667,0.16636692
"301",1951,-0.41691144
"302",1951.0833,-0.9024461
"303",1951.1667,-1.1843826
"304",1952,0.92396693
"305",1952.0833,-0.33087788
"306",1952.1667,-1.4289956
"307",1953,-0.12758782
"308",1953.0833,-0.57152415
"309",1953.1667,0.79346691
"310",1954,0.059109956
"311",1954.0833,-0.31241039
"312",1954.1667,-0.70567605
"313",1955,0.25645533
"314",1955.0833,-1.1732205
"315",1955.1667,-1.7057631
"316",1956,-0.89618258
"317",1956.0833,-1.406866
"318",1956.1667,-0.44479499
"319",1957,1.1890059
"320",1957.0833,0.024523711
"321",1957.1667,-1.2616007
"322",1958,-0.42152618
"323",1958.0833,-0.35747002
"324",1958.1667,-2.4840602
"325",1959,-0.5407761
"326",1959.0833,1.7204422
"327",1959.1667,1.6953797
"328",1960,-1.1490067
"329",1960.0833,-0.76917114
"330",1960.1667,-1.2274383
"331",1961,-0.16412696
"332",1961.0833,1.490915
"333",1961.1667,1.5154269
"334",1962,1.1990921
"335",1962.0833,1.3277079
"336",1962.1667,-1.5049821
"337",1963,-1.3088073
"338",1963.0833,-0.32697202
"339",1963.1667,0.14123234
"340",1964,1.5057337
"341",1964.0833,-0.72575719
"342",1964.1667,-0.75605571
"343",1965,0.31441678
"344",1965.0833,-0.55923602
"345",1965.1667,-0.6991215
"346",1966,-1.4035481
"347",1966.0833,-1.6535572
"348",1966.1667,-0.70753022
"349",1967,0.11980362
"350",1967.0833,0.51618247
"351",1967.1667,1.1136431
"352",1968,-0.49013308
"353",1968.0833,0.011341291
"354",1968.1667,1.1625509
"355",1969,-2.4947043
"356",1969.0833,-2.8141674
"357",1969.1667,-2.061817
"358",1970,-0.90056386
"359",1970.0833,-0.61992958
"360",1970.1667,-1.5036997
"361",1971,0.76296816
"362",1971.0833,-0.44732093
"363",1971.1667,-1.1511654
"364",1972,0.23343511
"365",1972.0833,0.92553
"366",1972.1667,0.79028709
"367",1973,1.1450938
"368",1973.0833,0.62300782
"369",1973.1667,0.7486995
"370",1974,0.69337397
"371",1974.0833,0.44260179
"372",1974.1667,0.43355028
"373",1975,2.2305438
"374",1975.0833,0.72530463
"375",1975.1667,1.1395519
"376",1976,0.70984348
"377",1976.0833,1.2191852
"378",1976.1667,0.22073577
"379",1977,-2.0293978
"380",1977.0833,-1.0367382
"381",1977.1667,-0.02891225
"382",1978,-0.11679816
"383",1978.0833,-0.86421114
"384",1978.1667,0.22281596
"385",1979,-1.8271492
"386",1979.0833,-0.30166326
"387",1979.1667,-0.3353465
"388",1980,-0.75100172
"389",1980.0833,-0.47507279
"390",1980.1667,-1.2930167
"391",1981,0.21006291
"392",1981.0833,-0.058597923
"393",1981.1667,-0.75247908
"394",1982,-0.58722477
"395",1982.0833,0.95928855
"396",1982.1667,0.19203268
"397",1983,2.020427
"398",1983.0833,0.7439688
"399",1983.1667,0.89861596
"400",1984,0.91226751
"401",1984.0833,0.49080938
"402",1984.1667,-0.58235566
"403",1985,-1.6229329
"404",1985.0833,-1.366199
"405",1985.1667,0.029435349
"406",1986,0.3315346
"407",1986.0833,-0.48582702
"408",1986.1667,0.76893615
"409",1987,-1.0263523
"410",1987.0833,0.28507547
"411",1987.1667,-0.9618891
"412",1988,0.51969111
"413",1988.0833,-0.30814385
"414",1988.1667,-0.25720335
"415",1989,2.3006153
"416",1989.0833,2.0279537
"417",1989.1667,1.6021053
"418",1990,0.28127836
"419",1990.0833,2.4507769
"420",1990.1667,2.0825398
"421",1991,1.4940452
"422",1991.0833,0.63068349
"423",1991.1667,-0.35286748
"424",1992,1.9811847
"425",1992.0833,2.2041661
"426",1992.1667,1.0828596
"427",1993,2.0305043
"428",1993.0833,1.5971754
"429",1993.1667,1.0345793
"430",1994,0.0293769
"431",1994.0833,-0.26004306
"432",1994.1667,0.39499273
"433",1995,1.5272129
"434",1995.0833,2.0261637
"435",1995.1667,0.77680315
"436",1996,-0.25180783
"437",1996.0833,-0.063541314
"438",1996.1667,-0.59834008
"439",1997,-0.059617809
"440",1997.0833,1.3494526
"441",1997.1667,1.2320572
