"","description","calories","protein","carbohydrates","sugar","sodium","fat_sat","fat_mono","fat_poly","cholestorol"
"7512","SNACKS,M&M MARS,KUDOS WHL GRAIN BARS,PNUT BUTTER",463,5.88,64.69,44.29,268,10.411,NA,NA,0
"7513","FORM BAR,MARS SNACKFOOD US,SNICKERS MARATHON HON NUT OAT BAR",378,22.5,54.3,26.26,318,4.481,NA,NA,NA
"7514","SNACKS,M&M MARS,KUDOS WHL GRAIN BAR,M&M'S MILK CHOC",415,3.78,73.01,37.81,341,6.802,NA,NA,4
"7515","FORM BAR,MARS SNACKFOOD US,COCOAVIA,CHOC ALMOND",347,7.72,51.68,27.03,260,4.326,NA,NA,2
"7516","SNACKS,SWT POTATO CHIPS,UNSALTED",532,2.94,56.82,8.82,35,2.941,9.155,12.224,0
"7517","SNACKS,FRITOLAY,SUNCHIPS,MULTIGRAIN SNACK,ORIGINAL FLAVOR",491,7.95,67.26,7.2,423,2.166,11.501,6.513,0
"7518","SNACKS,POPCORN,MICROWAVE,REG (BUTTER) FLAVOR, W/PARHYD OIL",557,7.5,55.16,0.55,764,7.216,21.143,2.392,0
"7519","FORMBAR,MARSSNACK,SNICKERS MARATHONPROTPERFBAR,CARMELNUTRUSH",415,25,50.5,28.75,238,6.25,2.645,2.892,6
"7520","FORM BAR,MARS SNACK US,SNICKERS MARATHON ENERGY BAR,ALL FLAV",386,21.91,50.3,28.71,383,4.753,3.92,1.917,4
"7522","FORM BAR,MARS SNACKFOOD US,COCOAVIA,CHOC BLUEBERRY",325,6.21,57.87,33.4,260,3.87,NA,NA,2
"7525","SNACKS,FRITOLAY,SUNCHIPS,MULTIGRAIN,FRENCH ONION FLAVOR",496,8.68,65.49,8.82,467,2.469,12.698,6.513,0
"7526","SNACKS,FRITOLAY,SUNCHIPS,MULTIGRAIN,HARVEST CHEDDAR",491,8.08,64.7,7.05,705,2.892,12.557,6.631,0
"7528","SNACKS,SOY CHIPS OR CRISPS,SALTED",385,26.5,53.15,1.8,842,1.102,1.661,4.018,0
"7530","SNACKS,PLANTAIN CHIPS,SALTED",531,2.28,63.84,0.92,202,8.337,5.632,11.739,0
"7532","SNACKS,VEG CHIPS,HAIN CELESTIAL GROUP,TERRA CHIPS",517,4.13,57.97,9.75,246,1.887,15.409,6.93,0
"7534","SNACKS,GRANOLA BAR,KASHI GOLEAN,CHEWY,MXD FLAVORS",390,16.67,63.42,42.31,321,3.227,2.558,1.228,6
"7535","SNACKS,GRANOLA BAR,KASHI TLC BAR,CHEWY,MXD FLAVORS",429,18.57,53.26,17.14,293,1.213,9.486,4.181,0
"7536","SNACKS,GRANOLA BAR,KASHI GOLEAN,CRUNCHY,MXD FLAVORS",393,17.88,59.58,27.3,486,4.687,2.498,1.268,0
"7537","SNACKS,GRANOLA BAR,CHEWY,RED SUGAR,ALL FLAVORS",412,5.55,69.4,20.8,312,5.008,5.303,1.44,0
"7538","SNACKS,GRANOLA BITES,MXD FLAVORS",451,7.17,66.27,30,167,9.888,3.194,2.546,0
"7539","SNACKS,PITA CHIPS,SALTED",457,11.79,68.26,4.76,854,1.342,10.842,2.13,0
"7540","SNACKS,GRANOLA BARS,SOFT,ALMOND,CONFECTIONERS COATING",455,8.6,60.13,34,486,5.668,9.491,3.643,0
"7541","SNACKS,GRANOLA BARS,QUAKER OATMEAL TO GO,ALL FLAVORS",389,6.67,75.47,31.54,367,1.299,1.531,2.559,36
"7542","SNACKS,VEG CHIPS,MADE FROM GARDEN VEG",473,5.32,60.43,4.04,357,1.762,14.566,6.602,0
"7543","SNACKS,GRANOLA BAR,KASHI TLC BAR,CRUNCHY,MXD FLAVORS",446,15,62.78,20,400,1.436,7.932,5.006,0
"7544","SNACKS,CANDY BITS,YOGURT COVERED W/ VIT C",415,0,86.9,65,75,1.389,0.983,3.886,3
"7546","SNACKS,BAGEL CHIPS,PLN",451,12.34,66.36,6.02,233,6.835,6.05,2.085,0
"7547","SNACKS,NUTRI-GRAIN FRUIT & NUT BAR",403,9.38,66.72,32.45,195,1.93,5.705,2.581,0
"7548","SNACKS,YUCCA (CASSAVA) CHIPS,SALTED",515,1.34,69.23,3.36,296,8.689,7.443,6.912,NA
"7550","SNACKS,GRANOLA BAR,QUAKER,CHEWY,90 CAL BAR",408,4.17,79.17,29.17,313,2.083,2.945,1.929,0
"7556","SNACK,PRETZEL,HARD CHOC COATD",467,7.05,70.07,38.8,494,8.611,3.293,2.82,0
"7559","SNACKS,POTATO CHIPS,LIGHTLY SALTED",560,6.72,53.54,0.34,187,5.49,14.938,12.416,0
"7680","KEEBLER,CLUB CRACKERS,SNACK STKS,HONEY WHEAT",471,6.5,66,14,890,3.5,7.7,8.8,NA
"7681","KEEBLER,CLUB CRACKERS,SNACK STKS,ORIGINAL",475,6,65,9.5,1106,3.7,8,9.2,NA
"7861","SUNSHINE,CHEEZ-IT,SNACK MIX",438,9,66.7,2.2,1107,3.2,3.8,7.3,0
"7862","SUNSHINE,CHEEZ-IT,SNACK MIX,WHITE CHEDDAR",473,8.55,65.7,2.15,952,4.9,4.7,9.4,5
"7904","CAKE,SNACK CAKES,CREME-FILLED,CHOC W/ FRSTNG,LOW-FAT",409,3.71,69.37,33.42,483,5.57,3.517,3.034,93
"7905","CAKE,SNACK CAKES,NOT CHOC,W/ ICING OR FILLING,LOW-FAT",405,3.71,72.49,29.71,316,3.713,3.375,2.994,93
"8246","CANDIES,MARS SNACKFOOD US,M&M'S PNUT BUTTER CHOC CANDIES",529,10.16,56.89,47.15,213,18.485,4.448,0.542,7
"8259","CANDIES,MARS SNACKFOOD US,TWIX CHOC FUDGE COOKIE BARS",550,7.3,56,53,266,4.962,14.319,12.521,6
"8269","CANDIES,MARS SNACKFOOD US,MILKY WAY MIDNIGHT BAR",443,3.2,71.22,57.81,168,11.474,4.639,0.514,10
"8273","CANDIES,MARS SNACKFOOD US,M&M'S ALMOND CHOC CANDIES",522,7.53,60.5,49.22,45,9.435,11.29,3.753,8
"8283","SNACKS,POPCORN,HOME-PREPARED,OIL-POPPED,UNSALTED",500,9,58.1,0.54,3,5.05,8.29,13.52,0
"8296","BABYFOOD,BKD PRODUCT,FINGER SNACKS CRL",421,6.4,76.68,28,214,1.646,3.13,3.638,0
"8387","SNACKS,TORTILLA CHIPS,UNSALTED,WHITE CORN",503,7.79,65.32,1,15,2.458,9.52,9.956,0
"8413","SNACKS,CORN-BASED,EXTRUDED,CHIPS,UNSALTED",557,6.6,57.4,1.41,15,4.344,9.04,17.093,0
"8436","SNACKS,TORTILLA CHIPS,LT (BAKED W/ LESS OIL)",465,8.7,73.4,0.53,564,2.837,6.341,5.024,0
