"","longitude","latitude","temperature","salinity"
"87",268.3231,23.8546,18.0878,28.3115
"88",268.1009,23.6893,17.9296,28.2823
"89",267.9147,23.54,17.9543,28.2904
"90",267.7263,23.4179,17.9079,28.2711
"91",267.5401,23.3216,17.9776,28.3067
"92",267.3631,23.2542,18.0781,28.3336
"93",267.2055,23.182,17.9367,28.3014
"94",267.1059,23.0906,17.6762,28.275
"95",267.0479,23.0006,17.7357,28.2838
"96",267.015,22.9099,17.7113,28.2811
"97",267.0169,22.8002,17.6864,28.2737
"98",267.0493,22.6701,17.6847,28.2711
"99",267.1148,22.5555,17.6745,28.2733
"100",267.1851,22.4597,17.6584,28.2872
"101",267.2228,22.389,17.628,28.2826
"102",267.2217,22.3083,17.5829,28.2891
"103",267.2538,22.2093,17.4669,28.277
"104",267.3262,22.1352,17.4418,28.2779
"105",267.3409,22.0619,17.5781,28.2951
"106",267.3241,21.962,17.7216,28.3253
"107",267.3123,21.8422,17.938,28.3726
"108",267.2755,21.7282,18.1892,28.3682
"109",267.2145,21.6091,18.2551,28.359
"110",267.1755,21.4604,17.6431,28.2958
"111",267.1578,21.3334,17.2694,28.2402
"112",267.1171,21.2356,17.4233,28.2597
"113",267.0612,21.1048,17.1397,28.2083
"114",267.0223,20.9582,16.8653,28.1682
"115",266.9792,20.8447,17.1201,28.1902
"116",266.9086,20.7492,17.0935,28.2046
"117",266.8706,20.6592,17.1757,28.2106
"118",266.8576,20.6043,17.3699,28.2327
"119",266.8036,20.5671,17.3354,28.2154
"120",266.7337,20.5263,17.0744,28.1754
"121",266.6885,20.4809,17.0793,28.1671
"122",266.6264,20.4578,17.657,28.2205
"123",266.5355,20.396,17.6095,28.2077
"124",266.5262,20.3154,17.4321,28.1969
"125",266.5125,20.2879,17.527,28.214
"126",266.3911,20.2708,17.5476,28.1934
"127",266.3141,20.2364,17.2333,28.1965
"128",266.2666,20.2194,17.3086,28.1923
"129",266.2124,20.1697,17.4886,28.2111
"130",266.2201,20.0778,16.8547,28.1495
"131",266.209,20.0171,16.5743,28.1125
"132",266.1522,19.9238,16.8553,28.153
"133",266.0977,19.736,16.3027,28.0756
"134",266.0283,19.5676,16.5491,28.109
"135",265.9227,19.4179,16.4089,28.0655
"136",265.7355,19.255,16.5641,28.0516
"137",265.4889,19.0357,16.3267,27.9941
"138",265.1748,18.8711,16.5581,28.0204
"139",264.7928,18.8889,16.2434,27.9918
"140",264.3613,19.0451,16.2987,27.975
"141",263.9216,19.4352,15.9605,27.9848
"142",263.6186,19.9542,17.3581,28.0762
"143",263.2953,20.5366,17.5926,28.0346
"144",263.0288,21.2469,17.3006,28.0142
"145",263.018,22.0502,16.9419,27.9634
"146",263.0485,22.8495,16.1855,27.9377
"147",263.0702,23.6363,16.414,27.9529
"148",263.328,24.2231,16.3449,27.9546
"149",263.5729,24.6088,16.9031,28.027
"150",263.6345,24.9591,17.0196,27.9921
