"","Year","Month","Day","Extent","Missing"
"130",1979,7,11,10.65426,0
"131",1979,7,13,10.50459,0
"132",1979,7,15,10.40799,0
"133",1979,7,17,10.25292,0
"134",1979,7,19,9.92372,0
"135",1979,7,21,9.92209,0
"136",1979,7,23,9.65742,0
"137",1979,7,25,9.61341,0
"138",1979,7,27,9.53785,0
"139",1979,7,29,9.34761,0
"140",1979,7,31,9.22637,0
"141",1979,8,2,8.9587,0
"142",1979,8,4,8.82573,0
"143",1979,8,6,8.71313,0
"144",1979,8,8,8.58617,0
"145",1979,8,10,8.31571,0
"146",1979,8,12,8.25706,0
"147",1979,8,14,8.09476,0
"148",1979,8,16,7.95817,0
"149",1979,8,18,7.7908,0
"150",1979,8,20,7.64123,0
"151",1979,8,22,7.55051,0
"152",1979,8,24,7.53703,0
"153",1979,8,26,7.40867,0
"154",1979,8,28,7.33542,0
"155",1979,8,30,7.25972,0
"156",1979,9,1,7.2107,0
"157",1979,9,3,7.14521,0
"158",1979,9,5,7.03068,0
"159",1979,9,7,7.04977,0
"160",1979,9,9,7.08571,0
"161",1979,9,11,6.97847,0
"162",1979,9,13,6.99455,0
"163",1979,9,15,6.99622,0
"164",1979,9,17,6.99751,0
"165",1979,9,19,6.90667,0
"166",1979,9,21,6.89236,0
"167",1979,9,23,7.01121,0
"168",1979,9,25,7.04971,0
"169",1979,9,27,7.12245,0
"170",1979,9,29,7.15522,0
"171",1979,10,1,7.36108,0
"172",1979,10,3,7.481,0
"173",1979,10,5,7.73403,0
"174",1979,10,7,7.82308,0
"175",1979,10,9,8.05368,0
"176",1979,10,11,8.09109,0
"177",1979,10,13,8.29054,0
"178",1979,10,15,8.49688,0
"179",1979,10,17,8.91787,0
"180",1979,10,19,9.1243,0
"181",1979,10,21,9.25731,0
"182",1979,10,23,9.44927,0
"183",1979,10,25,9.67205,0
"184",1979,10,27,9.81273,0
"185",1979,10,29,9.76251,0
"186",1979,10,31,9.8948,0
"187",1979,11,2,10.12677,0
"188",1979,11,4,10.16936,0
"189",1979,11,6,10.24534,0
"190",1979,11,8,10.27106,0
"191",1979,11,10,10.47222,0
"192",1979,11,12,10.60018,0
"193",1979,11,14,10.80208,0
"194",1979,11,16,10.9157,0
"195",1979,11,18,11.00424,0
"196",1979,11,20,11.1441,0
"197",1979,11,22,11.34131,0
"198",1979,11,24,11.40839,0
"199",1979,11,26,11.57997,0
"200",1979,11,28,11.8731,0
"201",1979,11,30,12.03884,0
"202",1979,12,2,12.38301,0
"203",1979,12,4,12.45196,0
"204",1979,12,6,12.77548,0
"205",1979,12,8,12.98561,0
"206",1979,12,10,13.08593,0
"207",1979,12,12,13.26632,0
"208",1979,12,14,13.26829,0
"209",1979,12,16,13.31517,0
"210",1979,12,18,13.38258,0
"211",1979,12,20,13.53292,0
"212",1979,12,22,13.59967,0
"213",1979,12,24,13.7687,0
"214",1979,12,26,13.9214,0
"215",1979,12,28,14.07883,0
"216",1979,12,30,14.14173,0
"217",1980,1,1,14.19139,0
"218",1980,1,3,14.28585,0
"219",1980,1,5,14.37888,0
"220",1980,1,7,14.49783,0
"221",1980,1,9,14.57265,0
"222",1980,1,11,14.60732,0
"223",1980,1,13,14.732,0
"224",1980,1,15,14.80601,0
"225",1980,1,17,14.94138,0
"226",1980,1,19,15.10008,0
"227",1980,1,21,15.07299,0
"228",1980,1,23,15.13143,0
"229",1980,1,25,15.19411,0
"230",1980,1,27,15.08403,0
"231",1980,1,29,15.20926,0
"232",1980,1,31,15.42039,0
"233",1980,2,2,15.35608,0
"234",1980,2,4,15.58576,0
"235",1980,2,6,15.69825,0
"236",1980,2,8,15.82487,0
"237",1980,2,10,15.83037,0
"238",1980,2,12,15.9126,0
"239",1980,2,14,15.95672,0
"240",1980,2,16,16.03834,0
"241",1980,2,18,16.06115,0
"242",1980,2,20,16.12833,0
"243",1980,2,22,16.03821,0
"244",1980,2,24,16.06699,0
"245",1980,2,26,16.07274,0
"246",1980,2,28,16.20849,0
"247",1980,3,1,16.14216,0
"248",1980,3,3,16.24377,0
"249",1980,3,5,16.25042,0
"250",1980,3,7,16.24382,0
"251",1980,3,9,16.13976,0
"252",1980,3,11,15.96885,0
"253",1980,3,13,15.94278,0
"254",1980,3,15,15.96792,0
"255",1980,3,17,15.93702,0
"256",1980,3,19,15.96887,0
"257",1980,3,21,15.9035,0
"258",1980,3,23,15.91409,0
"259",1980,3,25,15.89488,0
"260",1980,3,27,15.93206,0
"261",1980,3,29,15.84391,0
"262",1980,3,31,15.76108,0
"263",1980,4,2,15.63291,0
"264",1980,4,4,15.62294,0
"265",1980,4,6,15.65812,0
"266",1980,4,8,15.59991,0
"267",1980,4,10,15.61981,0
"268",1980,4,12,15.59178,0
"269",1980,4,14,15.45567,0
"270",1980,4,16,15.44821,0
"271",1980,4,18,15.3687,0
"272",1980,4,20,15.33226,0
"273",1980,4,22,15.3454,0
"274",1980,4,24,15.20488,0
"275",1980,4,26,15.07456,0
"276",1980,4,28,14.95054,0
"277",1980,4,30,14.81474,0
"278",1980,5,2,14.68472,0
"279",1980,5,4,14.54853,0
"280",1980,5,6,14.4093,0
"281",1980,5,8,14.3072,0
"282",1980,5,10,14.17277,0
"283",1980,5,12,14.00284,0
"284",1980,5,14,13.83277,0
"285",1980,5,16,13.75157,0
"286",1980,5,18,13.66094,0
"287",1980,5,20,13.51722,0
"288",1980,5,22,13.4018,0
"289",1980,5,24,13.3398,0
"290",1980,5,26,13.19886,0
"291",1980,5,28,13.02736,0
"292",1980,5,30,12.90661,0
"293",1980,6,1,12.78039,0
"294",1980,6,3,12.72155,0
"295",1980,6,5,12.64486,0
"296",1980,6,7,12.63324,0
"297",1980,6,9,12.60625,0
"298",1980,6,11,12.49154,0
"299",1980,6,13,12.29759,0
"300",1980,6,15,12.29342,0
"301",1980,6,17,12.15918,0
"302",1980,6,19,12.08388,0
"303",1980,6,21,12.03724,0
"304",1980,6,23,11.86089,0
"305",1980,6,25,11.71897,0
"306",1980,6,27,11.61524,0
"307",1980,6,29,11.48456,0
"308",1980,7,1,11.27202,0
"309",1980,7,3,11.06453,0
"310",1980,7,5,10.98225,0
"311",1980,7,7,10.85343,0
"312",1980,7,9,10.69213,0
"313",1980,7,11,10.58249,0
"314",1980,7,13,10.3087,0
"315",1980,7,15,10.2046,0
"316",1980,7,17,9.94606,0
"317",1980,7,19,9.84611,0
"318",1980,7,21,9.77492,0
"319",1980,7,23,9.58978,0
"320",1980,7,25,9.35554,0
"321",1980,7,27,9.1681,0
"322",1980,7,29,9.06415,0
"323",1980,7,31,8.86123,0
"324",1980,8,2,8.72154,0
"325",1980,8,4,8.57831,0
"326",1980,8,6,8.5017,0
"327",1980,8,8,8.32726,0
"328",1980,8,10,8.17053,0
"329",1980,8,12,8.00616,0
"330",1980,8,14,7.79589,0
"331",1980,8,16,7.75251,0
"332",1980,8,18,7.73634,0
"333",1980,8,20,7.68465,0
"334",1980,8,22,7.70729,0
"335",1980,8,24,7.55405,0
"336",1980,8,26,7.57955,0
"337",1980,8,28,7.54516,0
"338",1980,8,30,7.56838,0
"339",1980,9,1,7.53825,0
"340",1980,9,3,7.54866,0
"341",1980,9,5,7.52476,0
"342",1980,9,7,7.57052,0
"343",1980,9,9,7.54576,0
"344",1980,9,11,7.55076,0
"345",1980,9,13,7.54342,0
"346",1980,9,15,7.6031,0
"347",1980,9,17,7.58349,0
"348",1980,9,19,7.63882,0
"349",1980,9,21,7.68538,0
"350",1980,9,23,7.77368,0
"351",1980,9,25,7.86045,0
"352",1980,9,27,7.95047,0
"353",1980,9,29,8.02673,0
"354",1980,10,1,8.16997,0
"355",1980,10,3,8.17937,0
"356",1980,10,5,8.44066,0
"357",1980,10,7,8.4762,0
"358",1980,10,9,8.74495,0
"359",1980,10,11,8.93393,0
"360",1980,10,13,9.14627,0
"361",1980,10,15,9.19476,0
"362",1980,10,17,9.23288,0
"363",1980,10,19,9.3213,0
"364",1980,10,21,9.43447,0
"365",1980,10,23,9.51091,0
"366",1980,10,25,9.60903,0
"367",1980,10,27,9.81173,0
"368",1980,10,29,9.86712,0
"369",1980,10,31,10.13711,0
"370",1980,11,2,10.38071,0
"371",1980,11,4,10.51508,0
"372",1980,11,6,10.64455,0
"373",1980,11,8,10.77443,0
"374",1980,11,10,10.84506,0
"375",1980,11,12,10.95992,0
"376",1980,11,14,11.06016,0
"377",1980,11,16,11.2121,0
"378",1980,11,18,11.31901,0
"379",1980,11,20,11.61339,0
"380",1980,11,22,11.76783,0
"381",1980,11,24,12.07425,0
"382",1980,11,26,12.25454,0
"383",1980,11,28,12.44321,0
"384",1980,11,30,12.58937,0
"385",1980,12,2,12.67411,0
"386",1980,12,4,13.04628,0
"387",1980,12,6,13.10916,0
"388",1980,12,8,13.29189,0
"389",1980,12,10,13.32436,0
"390",1980,12,12,13.5563,0
"391",1980,12,14,13.65673,0
"392",1980,12,16,13.89477,0
"393",1980,12,18,13.78964,0
"394",1980,12,20,13.67544,0
"395",1980,12,22,13.7748,0
"396",1980,12,24,13.79409,0
"397",1980,12,26,13.97331,0
"398",1980,12,28,14.16233,0
"399",1980,12,30,14.09308,0
"400",1981,1,1,14.25861,0
"401",1981,1,3,14.45831,0
"402",1981,1,5,14.40898,0
"403",1981,1,7,14.66228,0
"404",1981,1,9,14.57667,0
"405",1981,1,11,14.63882,0
"406",1981,1,13,14.58544,0
"407",1981,1,15,14.68662,0
"408",1981,1,17,14.94971,0
"409",1981,1,19,15.01788,0
"410",1981,1,21,14.98422,0
"411",1981,1,23,15.1209,0
"412",1981,1,25,15.18647,0
"413",1981,1,27,15.28907,0
"414",1981,1,29,15.4408,0
"415",1981,1,31,15.55025,0
"416",1981,2,2,15.5923,0
"417",1981,2,4,15.60458,0
"418",1981,2,6,15.61446,0
"419",1981,2,8,15.4966,0
"420",1981,2,10,15.38145,0
"421",1981,2,12,15.40906,0
"422",1981,2,14,15.41733,0
"423",1981,2,16,15.5253,0
"424",1981,2,18,15.54211,0
"425",1981,2,20,15.69197,0
"426",1981,2,22,15.61556,0
"427",1981,2,24,15.66217,0
"428",1981,2,26,15.58751,0
"429",1981,2,28,15.61475,0
"430",1981,3,2,15.56254,0
"431",1981,3,4,15.65856,0
"432",1981,3,6,15.57158,0
"433",1981,3,8,15.6046,0
"434",1981,3,10,15.66323,0
"435",1981,3,12,15.58542,0
"436",1981,3,14,15.71365,0
"437",1981,3,16,15.71054,0
"438",1981,3,18,15.467,0
"439",1981,3,20,15.60625,0
"440",1981,3,22,15.49406,0
"441",1981,3,24,15.52228,0
"442",1981,3,26,15.58532,0
"443",1981,3,28,15.47455,0
"444",1981,3,30,15.44411,0
"445",1981,4,1,15.40125,0
"446",1981,4,3,15.18818,0
"447",1981,4,5,15.19101,0
"448",1981,4,7,15.21158,0
"449",1981,4,9,15.18512,0
"450",1981,4,11,15.1028,0
"451",1981,4,13,15.0887,0
"452",1981,4,15,15.03004,0
"453",1981,4,17,14.94858,0
"454",1981,4,19,14.91176,0
"455",1981,4,21,14.86921,0
"456",1981,4,23,14.80914,0
"457",1981,4,25,14.71395,0
"458",1981,4,27,14.54557,0
"459",1981,4,29,14.46795,0
"460",1981,5,1,14.26519,0
"461",1981,5,3,14.28329,0
"462",1981,5,5,14.24394,0
"463",1981,5,7,14.07991,0
"464",1981,5,9,14.08236,0
"465",1981,5,11,14.08572,0
"466",1981,5,13,14.01774,0
"467",1981,5,15,13.91708,0
"468",1981,5,17,13.83865,0
"469",1981,5,19,13.74442,0
"470",1981,5,21,13.56633,0
"471",1981,5,23,13.4589,0
"472",1981,5,25,13.36898,0
"473",1981,5,27,13.33564,0
"474",1981,5,29,13.28522,0
"475",1981,5,31,13.23022,0
"476",1981,6,2,13.07146,0
"477",1981,6,4,13.01634,0
"478",1981,6,6,12.96814,0
"479",1981,6,8,12.87848,0
"480",1981,6,10,12.74512,0
"481",1981,6,12,12.68655,0
"482",1981,6,14,12.50349,0
"483",1981,6,16,12.48398,0
"484",1981,6,18,12.38081,0
"485",1981,6,20,12.24062,0
"486",1981,6,22,12.08437,0
"487",1981,6,24,12.02381,0
"488",1981,6,26,12.04175,0
"489",1981,6,28,11.81577,0
"490",1981,6,30,11.79609,0
"491",1981,7,2,11.42488,0
"492",1981,7,4,11.32346,0
"493",1981,7,6,11.17179,0
"494",1981,7,8,11.01967,0
"495",1981,7,10,10.89309,0
"496",1981,7,12,10.68504,0
"497",1981,7,14,10.64306,0
"498",1981,7,16,10.3467,0
"499",1981,7,18,10.13248,0
"500",1981,7,20,9.82814,0
"501",1981,7,22,9.77813,0
"502",1981,7,24,9.54637,0
"503",1981,7,26,9.22277,0
"504",1981,7,28,9.10236,0
"505",1981,7,30,8.91905,0
"506",1981,8,1,8.71069,0
"507",1981,8,3,8.53481,0
"508",1981,8,5,8.29711,0
"509",1981,8,7,8.15998,0
"510",1981,8,9,7.98518,0
"511",1981,8,11,7.8893,0
"512",1981,8,13,7.84489,0
"513",1981,8,15,7.78264,0
"514",1981,8,17,7.68965,0
"515",1981,8,19,7.63854,0
"516",1981,8,21,7.56549,0
"517",1981,8,23,7.49928,0
"518",1981,8,25,7.45511,0
"519",1981,8,27,7.38134,0
"520",1981,8,29,7.25846,0
"521",1981,8,31,7.32499,0
"522",1981,9,2,7.20381,0
"523",1981,9,4,7.15835,0
"524",1981,9,6,6.97441,0
"525",1981,9,8,7.03111,0
"526",1981,9,10,6.88784,0
"527",1981,9,12,6.9077,0
"528",1981,9,14,6.94749,0
"529",1981,9,16,6.95777,0
"530",1981,9,18,6.98392,0
"531",1981,9,20,7.04626,0
"532",1981,9,22,7.22871,0
"533",1981,9,24,7.24596,0
"534",1981,9,26,7.30417,0
"535",1981,9,28,7.48016,0
"536",1981,9,30,7.61648,0
"537",1981,10,2,7.94249,0
"538",1981,10,4,8.0261,0
"539",1981,10,6,8.1056,0
"540",1981,10,8,8.31131,0
"541",1981,10,10,8.3717,0
"542",1981,10,12,8.60456,0
"543",1981,10,14,8.85254,0
"544",1981,10,16,8.96254,0
"545",1981,10,18,9.01249,0
"546",1981,10,20,9.0673,0
"547",1981,10,22,9.05282,0
"548",1981,10,24,9.19463,0
"549",1981,10,26,9.38329,0
"550",1981,10,28,9.54353,0
"551",1981,10,30,9.66838,0
"552",1981,11,1,9.88742,0
"553",1981,11,3,9.91344,0
"554",1981,11,5,10.30488,0
"555",1981,11,7,10.50369,0
"556",1981,11,9,10.49473,0
"557",1981,11,11,10.62436,0
"558",1981,11,13,10.87389,0
"559",1981,11,15,10.95696,0
"560",1981,11,17,11.16921,0
"561",1981,11,19,11.16889,0
"562",1981,11,21,11.25234,0
"563",1981,11,23,11.39329,0
"564",1981,11,25,11.57749,0
"565",1981,11,27,11.6406,0
"566",1981,11,29,11.8421,0
"567",1981,12,1,11.99204,0
"568",1981,12,3,12.32599,0
"569",1981,12,5,12.50586,0
"570",1981,12,7,12.692,0
"571",1981,12,9,12.80374,0
"572",1981,12,11,12.93681,0
"573",1981,12,13,13.20963,0
"574",1981,12,15,13.4234,0
"575",1981,12,17,13.64586,0
"576",1981,12,19,13.78361,0
"577",1981,12,21,13.90002,0
"578",1981,12,23,13.86661,0
"579",1981,12,25,14.01497,0
"580",1981,12,27,13.95868,0
"581",1981,12,29,14.12204,0
"582",1981,12,31,14.21924,0
"583",1982,1,2,14.4603,0
"584",1982,1,4,14.62859,0
"585",1982,1,6,14.8701,0
"586",1982,1,8,14.95661,0
"587",1982,1,10,15.03189,0
"588",1982,1,12,15.1253,0
"589",1982,1,14,15.08905,0
"590",1982,1,16,15.19307,0
"591",1982,1,18,15.18569,0
"592",1982,1,20,15.16726,0
"593",1982,1,22,15.27287,0
"594",1982,1,24,15.35774,0
"595",1982,1,26,15.50322,0
"596",1982,1,28,15.63437,0
"597",1982,1,30,15.67998,0
"598",1982,2,1,15.79478,0
"599",1982,2,3,15.79177,0
"600",1982,2,5,15.80291,0
"601",1982,2,7,15.77979,0
"602",1982,2,9,15.76575,0
"603",1982,2,11,15.69363,0
"604",1982,2,13,15.80856,0
"605",1982,2,15,15.81015,0
"606",1982,2,17,16.0105,0
"607",1982,2,19,16.04446,0
"608",1982,2,21,16.0406,0
"609",1982,2,23,16.10828,0
"610",1982,2,25,16.26594,0
"611",1982,2,27,16.27475,0
"612",1982,3,1,16.20753,0
"613",1982,3,3,16.2546,0
"614",1982,3,5,16.26691,0
"615",1982,3,7,16.24907,0
"616",1982,3,9,16.13303,0
"617",1982,3,11,16.05483,0
"618",1982,3,13,15.97357,0
"619",1982,3,15,15.91534,0
"620",1982,3,17,15.87372,0
"621",1982,3,19,15.90578,0
"622",1982,3,21,15.85817,0
"623",1982,3,23,15.86101,0
"624",1982,3,25,15.88143,0
"625",1982,3,27,15.8209,0
"626",1982,3,29,15.91149,0
"627",1982,3,31,15.96452,0
"628",1982,4,2,15.89397,0
"629",1982,4,4,15.89559,0
"630",1982,4,6,15.80664,0
"631",1982,4,8,15.55487,0
"632",1982,4,10,15.55284,0
"633",1982,4,12,15.4685,0
"634",1982,4,14,15.59062,0
"635",1982,4,16,15.4704,0
"636",1982,4,18,15.41786,0
"637",1982,4,20,15.34407,0
"638",1982,4,22,15.21843,0
"639",1982,4,24,15.12616,0
"640",1982,4,26,15.06366,0
"641",1982,4,28,15.04486,0
"642",1982,4,30,14.97882,0
"643",1982,5,2,14.75133,0
"644",1982,5,4,14.66746,0
"645",1982,5,6,14.5119,0
"646",1982,5,8,14.31886,0
"647",1982,5,10,14.2225,0
"648",1982,5,12,14.12116,0
"649",1982,5,14,14.06848,0
"650",1982,5,16,13.98218,0
"651",1982,5,18,13.84843,0
"652",1982,5,20,13.6441,0
"653",1982,5,22,13.55139,0
"654",1982,5,24,13.56291,0
"655",1982,5,26,13.55829,0
"656",1982,5,28,13.37905,0
"657",1982,5,30,13.2643,0
"658",1982,6,1,13.10386,0
"659",1982,6,3,13.00312,0
"660",1982,6,5,12.88079,0
"661",1982,6,7,12.84095,0
"662",1982,6,9,12.75969,0
"663",1982,6,11,12.72431,0
"664",1982,6,13,12.6817,0
"665",1982,6,15,12.65396,0
"666",1982,6,17,12.48977,0
"667",1982,6,19,12.32935,0
"668",1982,6,21,12.1513,0
"669",1982,6,23,12.09432,0
"670",1982,6,25,11.93829,0
"671",1982,6,27,11.88231,0
"672",1982,6,29,11.77238,0
"673",1982,7,1,11.42345,0
"674",1982,7,3,11.43682,0
"675",1982,7,5,11.33502,0
"676",1982,7,7,11.16193,0
"677",1982,7,9,11.03918,0
"678",1982,7,11,10.81184,0
"679",1982,7,13,10.66273,0
"680",1982,7,15,10.43695,0
"681",1982,7,17,10.26364,0
"682",1982,7,19,10.17144,0
"683",1982,7,21,10.01377,0
"684",1982,7,23,9.7895,0
"685",1982,7,25,9.63627,0
"686",1982,7,27,9.40618,0
"687",1982,7,29,9.22874,0
"688",1982,7,31,9.01648,0
"689",1982,8,2,8.90404,0
"690",1982,8,4,8.72927,0
"691",1982,8,6,8.65609,0
"692",1982,8,8,8.44248,0
"693",1982,8,10,8.41398,0
"694",1982,8,12,8.35083,0
"695",1982,8,14,8.12208,0
"696",1982,8,16,7.97502,0
"697",1982,8,18,7.98462,0
"698",1982,8,20,7.89765,0
"699",1982,8,22,7.76632,0
"700",1982,8,24,7.73112,0
"701",1982,8,26,7.6729,0
"702",1982,8,28,7.55553,0
"703",1982,8,30,7.52999,0
"704",1982,9,1,7.39189,0
"705",1982,9,3,7.25262,0
"706",1982,9,5,7.22502,0
"707",1982,9,7,7.18022,0
"708",1982,9,9,7.17585,0
"709",1982,9,11,7.16979,0
"710",1982,9,13,7.15423,0
"711",1982,9,15,7.18849,0
"712",1982,9,17,7.19477,0
"713",1982,9,19,7.22867,0
"714",1982,9,21,7.31891,0
"715",1982,9,23,7.40472,0
"716",1982,9,25,7.41375,0
"717",1982,9,27,7.48855,0
"718",1982,9,29,7.63864,0
"719",1982,10,1,7.71411,0
"720",1982,10,3,7.93332,0
"721",1982,10,5,8.11022,0
"722",1982,10,7,8.31006,0
"723",1982,10,9,8.80448,0
"724",1982,10,11,9.13283,0
"725",1982,10,13,9.39221,0
"726",1982,10,15,9.56922,0
"727",1982,10,17,9.73903,0
"728",1982,10,19,9.79515,0
"729",1982,10,21,9.79657,0
"730",1982,10,23,10.01352,0
"731",1982,10,25,10.14726,0
"732",1982,10,27,10.36204,0
"733",1982,10,29,10.51943,0
"734",1982,10,31,10.53988,0
"735",1982,11,2,10.78443,0
"736",1982,11,4,10.87645,0
"737",1982,11,6,11.08355,0
"738",1982,11,8,11.02319,0
"739",1982,11,10,11.17521,0
"740",1982,11,12,11.339,0
"741",1982,11,14,11.55951,0
"742",1982,11,16,11.74569,0
"743",1982,11,18,11.76958,0
"744",1982,11,20,11.68126,0
"745",1982,11,22,11.83325,0
"746",1982,11,24,11.91719,0
"747",1982,11,26,12.15955,0
"748",1982,11,28,12.46679,0
"749",1982,11,30,12.59387,0
"750",1982,12,2,12.8049,0
"751",1982,12,4,12.8817,0
"752",1982,12,6,12.96235,0
"753",1982,12,8,13.22833,0
"754",1982,12,10,13.33608,0
"755",1982,12,12,13.49309,0
"756",1982,12,14,13.5771,0
"757",1982,12,16,13.82042,0
"758",1982,12,18,13.87094,0
"759",1982,12,20,13.98281,0
"760",1982,12,22,13.96787,0
"761",1982,12,24,14.05325,0
"762",1982,12,26,14.17482,0
"763",1982,12,28,14.11591,0
"764",1982,12,30,14.15464,0
"765",1983,1,1,14.23285,0
"766",1983,1,3,14.26137,0
"767",1983,1,5,14.46681,0
"768",1983,1,7,14.47879,0
"769",1983,1,9,14.56646,0
"770",1983,1,11,14.62401,0
"771",1983,1,13,14.59775,0
"772",1983,1,15,14.89197,0
"773",1983,1,17,14.98909,0
"774",1983,1,19,15.01369,0
"775",1983,1,21,15.28392,0
"776",1983,1,23,15.36541,0
"777",1983,1,25,15.29709,0
"778",1983,1,27,15.36134,0
"779",1983,1,29,15.53075,0
"780",1983,1,31,15.64491,0
"781",1983,2,2,15.72068,0
"782",1983,2,4,15.6854,0
"783",1983,2,6,15.65145,0
"784",1983,2,8,15.8284,0
"785",1983,2,10,15.79523,0
"786",1983,2,12,15.95918,0
"787",1983,2,14,16.00983,0
"788",1983,2,16,15.91699,0
"789",1983,2,18,16.01176,0
"790",1983,2,20,16.12038,0
"791",1983,2,22,16.18227,0
"792",1983,2,24,16.23797,0
"793",1983,2,26,16.28881,0
"794",1983,2,28,16.13595,0
"795",1983,3,2,16.00296,0
"796",1983,3,4,15.92789,0
"797",1983,3,6,15.92734,0
"798",1983,3,8,16.07262,0
"799",1983,3,10,16.12478,0
"800",1983,3,12,16.29499,0
"801",1983,3,14,16.33207,0
"802",1983,3,16,16.14338,0
"803",1983,3,18,16.01109,0
"804",1983,3,20,16.14297,0
"805",1983,3,22,16.00515,0
"806",1983,3,24,15.92545,0
"807",1983,3,26,15.92286,0
"808",1983,3,28,15.87609,0
"809",1983,3,30,15.801,0
"810",1983,4,1,15.83653,0
"811",1983,4,3,15.86373,0
"812",1983,4,5,15.69795,0
"813",1983,4,7,15.66141,0
"814",1983,4,9,15.48668,0
"815",1983,4,11,15.51001,0
"816",1983,4,13,15.26057,0
"817",1983,4,15,15.09897,0
"818",1983,4,17,15.04285,0
"819",1983,4,19,14.8237,0
"820",1983,4,21,14.76579,0
"821",1983,4,23,14.63987,0
