"","X","base_salary","cash_bonus_past","option_awards","cash_bonus","sic_code","company_name","perks_others","symbol","amount","location","industry","fy_end_revenue","empty","stock_awards_past","cash_compensation_past","total_return","rank_change","notes","fy_end_mkt_cap","rank_profit","change","batch","company_name_ticker","net_income","option_awards_past","perks_others_past","nyt","company_display_name","empty_0","amount_past","empty_2","fy_end","fy_end_net_income","empty_4","base_salary_past","chief_executive","stock_awards","rank_pay","revenues","rank_revenue","rank_total","cash_compensation","ticker"
"24",24,1500000,1706906,0,4500000,5651,"GAP INC",360542,"",24627812,"SAN FRANCISCO CA","Services",15651,NA,3119506,3417874,75,16,"",15206,34,154,41305,"Gap (GPS)",36,3174120,210968,NA,"Gap (GPS)",NA,9711500,NA,"31-Jan",1135,NA,1500000,"Glenn K. Murphy",18267270,24,8,91,13,6360542,"GPS"
"25",25,941552,4197650,0,23357137,5812,"BLOOMIN' BRANDS INC.",151544,"",24450233,"TAMPA FL","Services",3988,NA,0,5506173,0,13,"TOTAL RETURN: Not calculated because the company's stock has not been publicly traded for a full fiscal year.",1901,173,186,41274,"Bloomin' Brands (BLMN)",-50,3041066,308523,NA,"Bloomin' Brands (BLMN)",NA,8547239,NA,"31-Dec",50,NA,1e+06,"Elizabeth A. Smith",0,25,4,165,0,24450233,"BLMN"
"26",26,1800000,9125000,3600079,13208000,3760,"LOCKHEED MARTIN CORP",1637458," ",23845459,"BETHESDA MD","Industrial Goods",47182,NA,3749811,13039226,19,72,"CHIEF EXECUTIVE: Mr. Stevens left the CEO position on December 31 2012.",29771,104,16,41274,"Lockheed Martin (LMT)",3,3749944,2114226,NA,"Lockheed Martin (LMT)",NA,20538981,NA,"31-Dec",2745,NA,1800000,"Robert J. Stevens",3599922,26,1,39,100,16645458,"LMT"
"27",27,767308,0,7866702,2525000,3569,"PALL CORP",171457,"*",23717680,"EAST HILLS NY","Industrial Goods",2672,NA,0,0,9,0,"CHIEF EXECUTIVE: Mr. Kingsley became CEO on  October 3 2011.  CHANGE IN PAY: Not calculated because the CEO was not in place for two complete years.",6112,113,0,41121,"Pall (PLL)",1,0,0,NA,"Pall (PLL)",NA,0,NA,"31-Jul",281,NA,0,"Lawrence D. Kingsley",12387213,27,6,182,136,3463765,"PLL"
"28",28,1235626,1850386,3091549,1591956,5331,"DOLLAR GENERAL CORP",686625,"",23160197,"GOODLETTSVILLE TN","Services",16022,NA,0,3832369,8,2,"",15118,45,504,41305,"Dollar General (DG)",24,0,785036,NA,"Dollar General (DG)",NA,3832369,NA,"31-Jan",953,NA,1196947,"Richard W. Dreiling",16554441,28,8,90,140,3514207,"DG"
"29",29,0,0,4375009,2187500,6022,"CAPITAL ONE FINANCIAL CORP",89264,"",22601824,"MCLEAN VA","Financial",18964,NA,10500079,159465,37,64,"",33730,67,21,41274,"Capital One Financial (COF)",15,8003906,159465,NA,"Capital One Financial (COF)",NA,18663450,NA,"31-Dec",3734,NA,0,"Richard D. Fairbank",15950051,29,27,81,44,2276764,"COF"
"30",30,8100000,12500000,0,10425000,4841,"NEWS CORP",384611,"",22418292,"NEW YORK NY","Services",33706,NA,8527321,20908342,27,159,"",52768,174,-24,41090,"News Corp. (NWSA)",-57,0,308342,NA,"News Corp. (NWSA)",NA,29435663,NA,"30-Jun",1179,NA,8100000,"Rupert Murdoch",3508681,30,1,57,75,18909611,"NWSA"
"31",31,1670833,4e+06,9807000,3480000,2911,"CHEVRON CORP",225435,"",22278928,"SAN RAMON CA","Basic Materials",241909,NA,5064680,5848230,5,61,"",210083,121,23,41274,"Chevron (CVX)",-3,7221600,277397,NA,"Chevron (CVX)",NA,18134510,NA,"31-Dec",26179,NA,1570833,"John S. Watson",7095660,31,-5,3,151,5376268,"CVX"
"32",32,1e+06,1530000,18864075,1302000,7372,"SALESFORCE COM INC",934829,"",22100904,"SAN FRANCISCO CA","Technology",3050,NA,0,3178456,47,57,"",25198,0,25,41305,"Salesforce.com (CRM)",NA,14535850,648456,NA,"Salesforce.com (CRM)",NA,17714306,NA,"31-Jan",NA,NA,1e+06,"Marc Benioff",0,32,35,174,27,3236829,"CRM"
"33",33,1e+06,8491788,0,9724393,6331,"BERKLEY W R CORP",2102639,"",22077032,"GREENWICH CT","Financial",5824,NA,0,10275640,14,20,"",5134,36,115,41274,"W. R. Berkley (WRB)",31,0,783852,NA,"W. R. Berkley (WRB)",NA,10275640,NA,"31-Dec",511,NA,1e+06,"William R. Berkley",9250000,33,13,144,120,12827032,"WRB"
"34",34,1550000,4232000,2489702,2116000,2000,"MONDELEZ INTERNATIONAL INC.",419721,"",22034929,"DEERFIELD IL","Consumer Goods",35015,NA,7754472,6049085,10,41,"TOTAL VALUE OF EQUITY HOLDINGS: Excludes outstanding options to purchase shares of Phillips 66 which was spun-off from ConocoPhillips in April 2012.",45257,136,40,41274,"Mondelez International (MDLZ)",-10,1933709,276373,NA,"Mondelez International (MDLZ)",NA,15737266,NA,"31-Dec",1540,NA,1540712,"Irene B. Rosenfeld",15459506,34,-2,55,131,4085721,"MDLZ"
"35",35,1117778,4750000,7888608,4525000,3823,"DANAHER CORP /DE/",712226,"",21896867,"WASHINGTON DC","Industrial Goods",18260,NA,7678268,6589846,19,117,"",38585,53,1,41274,"Danaher (DHR)",19,7382003,722068,NA,"Danaher (DHR)",NA,21650117,NA,"31-Dec",2299,NA,1117778,"H. Lawrence Culp Jr.",7653255,35,13,82,102,6355004,"DHR"
"36",36,1700000,5653571,7029000,4685637,3724,"UNITED TECHNOLOGIES CORP /DE/",571164,"",21790084,"HARTFORD CT","Industrial Goods",57708,NA,7932325,7882221,15,133,"",75174,115,-5,41274,"United Technologies (UTX)",0,7063760,547400,NA,"United Technologies (UTX)",NA,22878306,NA,"31-Dec",4847,NA,1681250,"Louis R. Cheanevert",7804283,36,4,32,114,6956801,"UTX"
"37",37,1550000,6e+06,6854958,6e+06,2080,"COCA COLA CO",963816,"",21608751,"ATLANTA GA","Consumer Goods",48017,NA,5600141,8106790,7,112,"",161556,94,2,41274,"Coca-Cola (KO)",5,7454880,756790,NA,"Coca-Cola (KO)",NA,21161811,NA,"31-Dec",9019,NA,1350000,"Muhtar Kent",6239977,37,3,37,147,8513816,"KO"
"38",38,1930000,8704300,3763497,10819580,3721,"BOEING CO",840775,"",21117344,"SEATTLE WA","Industrial Goods",81698,NA,3420165,11562979,5,75,"",56985,122,15,41274,"Boeing (BA)",-2.69,3420159,928679,NA,"Boeing (BA)",NA,18403303,NA,"31-Dec",3903,NA,1930000,"W. James McNerney Jr.",3763492,38,19,21,150,13590355,"BA"
"39",39,1550000,3787500,0,6060000,4813,"AT&T INC.",803308,"",20999898,"DALLAS TX","Technology",127434,NA,12749979,5892853,17,82,"",185122,14,12,41274,"AT&T (T)",84,45543,555353,NA,"AT&T (T)",NA,18688375,NA,"31-Dec",7276,NA,1550000,"Randall L. Stephenson",12586590,39,1,9,108,8413308,"T"
"40",40,2e+06,5460000,7499999,3950000,3711,"FORD MOTOR CO",680809,"",20955806,"DEARBORN MI","Consumer Goods",134252,NA,13924993,8072587,22,162,"",50793,180,-29,41274,"Ford Motor (F)",-72,7499992,612587,NA,"Ford Motor (F)",NA,29497572,NA,"31-Dec",5665,NA,2e+06,"Alan Mulally",6824998,40,-1,8,90,6630809,"F"
"41",41,1549212,1523000,0,1545000,1311,"SANDRIDGE ENERGY INC",1420406,"",20764622,"OKLAHOMA CITY OK","Basic Materials",2731,NA,20771971,4489531,-22,154,"",3137,18,-18,41274,"SandRidge Energy (SD)",63.95,0,1463935,NA,"SandRidge Energy (SD)",NA,25261502,NA,"31-Dec",86,NA,1502596,"Tom L. Ward",16250004,41,93,180,196,4514618,"SD"
"42",42,553846,0,7143999,1e+06,3674,"FREESCALE SEMICONDUCTOR LTD.",8659186,"*",20745088,"AUSTIN TX","Technology",3945,NA,0,0,-13,0,"CHIEF EXECUTIVE: Mr. Lowe became CEO on  June 5 2012.  CHANGE IN PAY: Not calculated because the CEO was not in place for two complete years.",2761,0,0,41274,"Freescale Semiconductor (FSL)",NA,0,0,NA,"Freescale Semiconductor (FSL)",NA,0,NA,"31-Dec",NA,NA,0,"Gregg A. Lowe",3388057,42,-14,166,188,10213032,"FSL"
"43",43,1189246,5507125,0,3402775,3663,"QUALCOMM INC/DE",1138867,"",20730873,"SAN DIEGO CA","Technology",19121,NA,14322329,7400004,30,130,"",106451,64,-5,41182,"Qualcomm (QCOM)",15.34,0,742288,NA,"Qualcomm (QCOM)",NA,21722333,NA,"30-Sep",5283,NA,1150591,"Paul E. Jacobs",14999985,43,28,80,64,5730888,"QCOM"
"44",44,3300000,4e+06,0,16580250,3600,"GENERAL ELECTRIC CO",574507,"",20454757,"FAIRFIELD CT","Industrial Goods",147359,NA,3579250,7747191,21,23,"",218260,103,81,41274,"General Electric (GE)",3,0,447191,NA,"General Electric (GE)",NA,11326441,NA,"31-Dec",14659,NA,3300000,"Jeffrey R. Immelt",0,44,0,6,92,20454757,"GE"
"45",45,5e+05,8125000,0,8600000,6211,"BLACKROCK INC.",187350,"",20231401,"NEW YORK NY","Financial",9337,NA,13060606,8817250,19,143,"",35133,92,-8,41274,"BlackRock (BLK)",5,0,192250,NA,"BlackRock (BLK)",NA,21877856,NA,"31-Dec",2458,NA,5e+05,"Laurence D. Fink",10944051,45,3,125,98,9287350,"BLK"
"46",46,1315731,2878305,0,4373180,5331,"WAL MART STORES INC",644450,"",19982880,"BENTONVILLE AR","Services",469162,NA,13066877,4520338,17,78,"",230306,84,14,41305,"Wal-Mart Stores (WMT)",8,0,377258,NA,"Wal-Mart Stores (WMT)",NA,17587215,NA,"31-Jan",16999,NA,1264775,"Michael T. Duke",13649519,46,5,2,111,6333361,"WMT"
"47",47,1500000,3455000,5248573,2880000,5331,"TARGET CORP",5068118,"",19981936,"MINNEAPOLIS MN","Services",73301,NA,4857501,10478988,21,101,"",38746,108,5,41305,"Target (TGT)",2,3696982,5523988,NA,"Target (TGT)",NA,19033471,NA,"31-Jan",2999,NA,1500000,"Gregg W. Steinhafel",5285245,47,5,23,91,9448118,"TGT"
"48",48,1340000,2872416,0,1005796,4911,"FIRSTENERGY CORP",49306,"",19862057,"AKRON OH","Utilities",15303,NA,9135872,4281451,-1,42,"",17465,141,39,41274,"FirstEnergy (FE)",-13,882829,69035,NA,"FirstEnergy (FE)",NA,14300152,NA,"31-Dec",770,NA,1340000,"Anthony J. Alexander",17466955,48,-5,92,169,2395102,"FE"
"49",49,750000,5e+06,0,5e+06,6282,"AFFILIATED MANAGERS GROUP INC",50156,"",19800156,"PRIDES CROSSING MA","Financial",1806,NA,4500000,5819054,36,45,"",6843,91,33,41274,"Affiliated Managers Group (AMG)",6,4543500,69054,NA,"Affiliated Managers Group (AMG)",NA,14862554,NA,"31-Dec",174,NA,750000,"Sean M. Healey",1.4e+07,49,6,194,49,5800156,"AMG"
"50",50,1380769,2652000,15742500,2404864,5812,"CHIPOTLE MEXICAN GRILL INC",213163,"**",19741296,"DENVER CO","Services",2731,NA,0,4105071,-12,116,"",9231,38,2,41274,"Chipotle Mexican Grill (CMG)",29,15286500,172302,NA,"Chipotle Mexican Grill (CMG)",NA,19391571,NA,"31-Dec",278,NA,1280769,"Steve Ells",0,50,20,178,184,3998796,"CMG"
"51",51,1300000,1690000,7007520,1645000,2834,"ALLERGAN INC",51936,"",19394532,"IRVINE CA","Healthcare",5806,NA,178369,3040736,5,28,"",28212,61,62,41274,"Allergan (AGN)",18,8730825,50736,NA,"Allergan (AGN)",NA,11949930,NA,"31-Dec",1099,NA,1300000,"David E.I. Pyott",9390076,51,7,147,152,2996936,"AGN"
"52",52,2800000,3100000,0,4e+06,6021,"WELLS FARGO & COMPANY/MN",15000,"",19315004,"SAN FRANCISCO CA","Financial",48391,NA,12000026,5914700,27,97,"",180159,51,8,41274,"Wells Fargo (WFC)",20,0,14700,NA,"Wells Fargo (WFC)",NA,17914726,NA,"31-Dec",17999,NA,2800000,"John G. Stumpf",12500004,52,-2,36,73,6815000,"WFC"
"53",53,1180769,2244000,15742500,2061312,5812,"CHIPOTLE MEXICAN GRILL INC",161869,"**",19146450,"DENVER CO","Services",2731,NA,0,3473227,-12,113,"",9231,38,2,41274,"Chipotle Mexican Grill (CMG)",29,15286500,148458,NA,"Chipotle Mexican Grill (CMG)",NA,18759727,NA,"31-Dec",278,NA,1080769,"Montgomery F. Moran",0,53,20,178,184,3403950,"CMG"
"54",54,1426924,4309576,654630,6050370,5651,"TJX COMPANIES INC /DE/",48550,"",19052474,"FRAMINGHAM MA","Services",25878,NA,0,5678236,34,11,"",32706,41,198,41305,"TJX Companies (TJX)",27,708954,48660,NA,"TJX Companies (TJX)",NA,6387190,NA,"31-Jan",1907,NA,1320000,"Carol M. Meyrowitz",10872000,54,12,68,55,7525844,"TJX"
"55",55,1900000,4200000,2057000,4700000,2834,"ABBOTT LABORATORIES",869713,"",18955889,"ABBOTT PARK IL","Healthcare",39874,NA,9759558,6996283,20,115,"",102879,44,2,41274,"Abbott Laboratories (ABT)",26,1835981,896283,NA,"Abbott Laboratories (ABT)",NA,18591822,NA,"31-Dec",5963,NA,1900000,"Miles D. White",9429176,55,3,46,95,7469713,"ABT"
"56",56,1200000,6463500,1963200,5234500,3674,"INTEL CORP",523200," ",18861300,"SANTA CLARA CA","Technology",53341,NA,7331100,8039000,-11,88,"CHIEF EXECUTIVE: Mr. Otellini left the CEO position on May 16 2013.",101987,148,10,41274,"Intel (INTC)",-15,1802800,475500,NA,"Intel (INTC)",NA,17172900,NA,"31-Dec",11005,NA,1100000,"Paul S. Otellini",9940400,56,-1,34,183,6957700,"INTC"
"57",57,1924000,4899158,2681763,4970885,5621,"L BRANDS INC.",677571,"",18860043,"COLUMBUS OH","Services",10459,NA,8822133,7472330,27,119,"COMPANY NAME: The company changed names from Limited Brands to L Brands effective March 22 2013.",13839,137,0,41305,"Limited Brands (LTD)",-11,2596103,649172,NA,"Limited Brands (LTD)",NA,18890566,NA,"31-Jan",753,NA,1924000,"Leslie H. Wexner",8605824,57,1,119,76,7572456,"LTD"
"58",58,1500000,4500000,5e+06,0,6021,"JPMORGAN CHASE & CO",170020,"",18670020,"NEW YORK NY","Financial",108184,NA,1.2e+07,6059944,36,155,"",168294,69,-19,41274,"JPMorgan Chase (JPM)",13,5e+06,143277,NA,"JPMorgan Chase (JPM)",NA,23059944,NA,"31-Dec",19877,NA,1416667,"Jamie Dimon",1.2e+07,58,-2,14,48,1670020,"JPM"
"59",59,1737500,3500000,6497597,3400000,2834,"PFIZER INC",409892,"",18486773,"NEW YORK NY","Healthcare",58986,NA,5684218,5519288,20,114,"",180302,68,2,41274,"Pfizer (PFE)",14,6916435,319288,NA,"Pfizer (PFE)",NA,18119941,NA,"31-Dec",9490,NA,1700000,"Ian C. Read",6441784,59,-10,31,96,5547392,"PFE"
"60",60,975000,2925000,0,2925000,6331,"AMTRUST FINANCIAL SERVICES INC.",43417,"",18120917,"NEW YORK NY","Financial",1865,NA,0,3942310,35,5,"",1929,100,360,41274,"AmTrust Financial Services (AFSI)",4,0,42310,NA,"AmTrust Financial Services (AFSI)",NA,3942310,NA,"31-Dec",178,NA,975000,"Barry D. Zyskind",14177500,60,37,190,51,3943417,"AFSI"
"61",61,1287500,0,3750001,6373092,5912,"CVS CAREMARK CORP",209246,"",18119843,"WOONSOCKET RI","Services",123133,NA,0,0,20,0,"CHIEF EXECUTIVE: Mr. Merlo became CEO on March 1 2011.  CHANGE IN PAY: Not calculated because the CEO was not in place for two complete years.",59528,75,0,41274,"CVS Caremark (CVS)",11.23,0,0,NA,"CVS Caremark (CVS)",NA,0,NA,"31-Dec",3884,NA,0,"Larry J. Merlo",6500004,61,15,10,94,7869838,"CVS"
"62",62,1105769,0,5694735,2248890,1311,"ANADARKO PETROLEUM CORP",492009,"*",18119498,"THE WOODLANDS TX","Basic Materials",13411,NA,0,0,-2,0,"CHIEF EXECUTIVE: Mr. Walker became CEO on May 15 2012.  CHANGE IN PAY: Not calculated because the CEO was not in place for two complete years.",37197,0,0,41274,"Anadarko Petroleum (APC)",NA,0,0,NA,"Anadarko Petroleum (APC)",NA,0,NA,"31-Dec",2391,NA,0,"Robert A. Walker",8578095,62,-4,104,170,3846668,"APC"
"63",63,1150000,2475000,0,2587500,3823,"ROPER INDUSTRIES INC",305205,"",18085705,"SARASOTA FL","Industrial Goods",2993,NA,11034000,3867446,29,63,"",11024,70,21,41274,"Roper Industries (ROP)",13,0,292446,NA,"Roper Industries (ROP)",NA,14901446,NA,"31-Dec",483,NA,1100000,"Brian D. Jellison",14043000,63,7,175,66,4042705,"ROP"
"64",64,1587500,3600000,6169484,3600000,3730,"GENERAL DYNAMICS CORP",485849," ",18010762,"FALLS CHURCH VA","Industrial Goods",31513,NA,3525047,5483177,8,83,"CHIEF EXECUTIVE: Mr. Johnson left the CEO position on December 31 2012.",24483,0,12,41274,"General Dynamics (GD)",NA,7049856,483177,NA,"General Dynamics (GD)",NA,16058080,NA,"31-Dec",NA,NA,1400000,"Jay L. Johnson",6167929,64,-4,60,141,5673349,"GD"
"65",65,1555782,3900000,12000106,4e+06,4899,"DIRECTV",323957,"",17879845,"EL SEGUNDO CA","Services",29740,NA,0,5735758,17,10,"",28748,71,212,41274,"DIRECTV (DTV)",13,0,317989,NA,"DIRECTV (DTV)",NA,5735758,NA,"31-Dec",2949,NA,1517769,"Michael D. White",0,65,9,61,107,5879739,"DTV"
"66",66,4e+06,11062500,0,1.2e+07,7011,"WYNN RESORTS LTD",1743434,"",17743434,"LAS VEGAS NV","Services",5520,NA,0,16474707,10,98,"",11360,152,8,41274,"Wynn Resorts (WYNN)",-18,0,1533361,NA,"Wynn Resorts (WYNN)",NA,16474707,NA,"31-Dec",502,NA,3878846,"Stephen A. Wynn",0,66,-2,148,130,17743434,"WYNN"
