"","x"
"486",265
"487",247
"488",243
"489",NA
"490",NA
"491",NA
"492",218
"493",171
"494",141
"495",210
"496",286
"497",267
"498",262
"499",264
"500",255
"501",NA
"502",NA
"503",NA
"504",221
"505",162
"506",140
"507",183
"508",255
"509",272
"510",259
"511",254
"512",267
"513",NA
"514",NA
"515",NA
"516",205
"517",172
"518",143
"519",172
"520",254
"521",281
"522",258
"523",250
"524",256
"525",NA
"526",NA
"527",NA
"528",179
"529",151
"530",137
"531",267
"532",299
"533",286
"534",261
"535",251
"536",245
"537",NA
"538",NA
"539",NA
"540",224
"541",148
"542",138
"543",209
"544",265
"545",283
"546",263
"547",246
"548",225
"549",NA
"550",NA
"551",NA
"552",228
"553",213
"554",224
"555",329
"556",306
"557",282
"558",280
"559",268
"560",246
"561",NA
"562",NA
"563",NA
"564",205
"565",155
"566",158
"567",229
"568",292
"569",277
"570",271
"571",262
"572",242
"573",NA
"574",NA
"575",NA
"576",242
"577",173
"578",191
"579",222
"580",282
"581",275
"582",262
"583",253
"584",242
"585",NA
"586",NA
"587",NA
"588",202
"589",157
"590",156
